Nike Global Manufacturing Data Export - Filters applied: ((none)),,,,,,,,,,,,,,,,,,
Factory Name,Product Type,"Nike, Inc. Brand(s)",Events,Address,City,State,Postal Code,Country,Operating Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Contact Name,Contact Phone,Contact Fax,Contact Email,Subcons
PINOPTIK S.R.L,Apparel,Cole Haan,,"QUERO (BL)VIA A. REDUSIO, 5 - ZONA IND. 32030 QUERO (BL)",,,P.I. 00653130252,Italy,Western Europe,20,3,70,33.3,,,,,
TRENTI INDUSTRIA OCCHIALI S.R.L.,Apparel,Cole Haan,,LOCALIT?ANSOGNE 32010 PERAROLO DI CARALTE,BELLUNO,,,Italy,Western Europe,51,41,65,9.8,,,,,
"UEDE OPTICAL CO.,LTD",Equipment,Cole Haan,,"36-20, 1, OCHI-CHO, SABAE-CITY, FUKUI PREFECTURE, 916-1115 JAPAN",SABAE-CITY,FUKUI PREFECTURE,916-1115,Japan,Japan,8,6,38,0,,,,,
CHUNMA CO LTD,Equipment,Cole Haan,,NO 2-8 GEOJE 1-DONG,BUSAN,,611-800,Korea,Emerging Markets,52,44,56,0,,,,,
SAM KYUNG TEXTILE,Equipment,Cole Haan,,"#222-2, DONGLIM-LI, MOHYUM-MYUN",YONGIN CITY,KYUNGKI-DO,,Korea,Emerging Markets,6,5,50,0,,,,,
INCALPACA,Apparel,Cole Haan,,CALLE CONDOR 100,TAEHUAYCANI SACHACA,AREQUIPA,600112,Peru,Emerging Markets,110,90,41,0,,,,,
SIMONE ACCESSORIES COLLECTION VIETNAM LTD.,Equipment,Cole Haan,,"A02, ROAD NO. 3. LONG HAU INDUSTRIAL PARK",LONG AN PROVINCE,VIETNAM,N/A,Vietnam,Emerging Markets,2979,786,89,0,,,,,
COOPERATIVA TEXTIL SEUCA LTDA.,Apparel,Converse,,LAS HERAS 513,GUAYMALLEN,MENDOZA,Argentina,Argentina,Emerging Markets,19,19,75,0,,,,,
COOPERSHOES - COOPERATIVA DE CALCADOS E COMPONENTES JOANETENSE LTDA.,Footwear,Converse,,"RUTA NACIONA NO 3, KM 186,600",LAS FLORES,BUENOS AIRES,7200,Argentina,Emerging Markets,320,306,60,1.6,,,,,
INVERSORA KADOR SOCIEDAD ANONIMA - PUNTO CRUZ,Apparel,Converse,,"AV. BELGRANO 2617, GRAL PACHECO, BS AS., B1618AUU",GENERAL PACHECO,BUENOS AIRES,1618,Argentina,Emerging Markets,32,29,78,6.9,,,,,
MANUFACTURA ARRECIFES S. A.,Apparel,Converse,,RUTA 8 KM 178,ARRECIFES,BUENOS AIRES,2740,Argentina,Emerging Markets,221,196,55,0,,,,,
TOCCALINO CARLOS JAVIER Y TOCCALINO DANIEL ANTONIO S.H.,Apparel,Converse,,"IRIBARNE 960 - LUJAN, BUENOS AIRES, ARGENTINA",LUJAN,BUENOS AIRES,,Argentina,Emerging Markets,18,18,67,0,,,,,
YERSIPLAST S.A.,Apparel,Converse,,YERSIPLAST S.A.,CAPITAL FEDERAL,,1416,Argentina,Emerging Markets,42,33,70,0,,,,,
ADERB BENEFICIAMENTO DE PALMILHAS E BORDADOS LTDA,Footwear,Converse,,RUA ITA?67 VILA NOVA,NOVO HAMBURGO,,,Brazil,Emerging Markets,10,10,0,0,,,,,
ATELIER DE CAL茿DOS BOM RETIRO DO SUL LT.,Footwear,Converse,,"RUA OSVALDO ARANHA, 415, BAIRRO IMIGRANTE",BOM RETIRO DO SUL,RS,,Brazil,Emerging Markets,27,26,80,0,,,,,
ATELIER DE CAL茿DOS KATYSI LTDA,Footwear,Converse,,"RUA DUARTE DE MACEDO,4013",CARLOS BARBOSA,,,Brazil,Emerging Markets,52,51,94,0,,,,,
ATELIER DE COSTURA GIOLA LTDA,Footwear,Converse,,"AV. PRESIDENTE LUCENA, 4910. CENTRO",PRESIDENTE LUCENA,,,Brazil,Emerging Markets,32,31,96,0,,,,,
ATELIER DE COSTURA MAIT?LTDA,Footwear,Converse,,"RUA ALVARO GARDA,69",GUABIJ,,,Brazil,Emerging Markets,40,39,82,0,,,,,
ATELIER DE COSTURA RISSON LTDA,Footwear,Converse,,ATELIER DE COSTURA RISSON LTDA,FARROUPILHA,,,Brazil,Emerging Markets,35,32,88,0,,,,,
ATELIER DE COSTURA WEST SPACE LTDA,Footwear,Converse,,"AV. CEL. MARCOS JOS?DE LE肙, 450",FELIZ,,,Brazil,Emerging Markets,59,59,94,0,,,,,
BOECK & BOECK,Footwear,Converse,,"ROD.GET贚IO VARGAS, 1760. CENTRO",PICADA-CAF,,,Brazil,Emerging Markets,48,46,90,0,,,,,
CIGNACHI - IND赟TRIA E COM蒖CIO LTDA,Footwear,Converse,,"RUA LUIZ BUSETTI, 216",FARROUPILHA,,,Brazil,Emerging Markets,39,36,89,0,,,,,
COOPERSHOES - COOPERATIVA DE CAL茿DOS E COMPONENTES JOANETENSE LTDA.,Footwear,Converse,,"EST. RST 470, KM 109, N?3181",VERAN覲OLIS,RIO GRANDE DO SUL,,Brazil,Emerging Markets,752,735,82,0,,,,,
COOPERSHOES - COOPERATIVA DE CAL茿DOS E COMPONENTES JOANETENSE LTDA.,Footwear,Converse,,"RUA VICENTE FARAON, 626, BAIRRO CHAMPAGNE",GARIBALDI,RIO GRANDE DO SUL,,Brazil,Emerging Markets,250,232,74,0,,,,,
COOPERSHOES-COOPERATIVA DE CALCADOS E COMPONETS JO,Footwear,Converse,,O ENDERECO E AV DO CONTORNO,MORADA NOVA,CEARA,62940000,Brazil,Emerging Markets,128,121,72,0,,,,,
GCOLLOR (SCREEN PRINTER),Footwear,Converse,,"RUA VICTOR HUGO KUNZ, 2300 BAIRRO SAO JORGE",NOVO HAMBURGO,RS,93534-000 - CNPJ 06.144/0001-19,Brazil,Emerging Markets,28,27,29,0,,,,,
IRMAOS FONSECA BENEF. CALCADOS LTDA.,Footwear,Converse,,"RUA TOCANTINS, 1280 BAIRRO SAO JOAO",DOIS IRMAOS,,0,Brazil,Emerging Markets,40,37,50,0,,,,,
