conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairSale,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
A-2,8,960475.1,111,8652.928829,0.10483871,Rhino,13406,Curfu,6900,Bull,6138,Crown,1004,,,27448,23.18166068,19.07499981,20.98856326,581509.643,21.18586575,10.25,23.18166068,4,18,11,36,,,48.84144564,-22.94000393,-6,-7,3,2,3,1
A-2,9,1014877,121,8387.413223,0,Bull,14892,Rhino,2807,,,,,,,17699,17.02320726,22.48501984,,316625.0532,17.88943178,17.02320726,22.48501984,2,7,5,13,,,84.14034691,-35.51807053,-11,-6,3,2,2.5,2
A-3,1,1047163.6,120,8726.363333,,Bull,19699,,,,,,,,,19699,16.24400957,,,319990.7446,16.24400957,16.24400957,16.24400957,1,9,8,23,,,100,,,,3,2,2.5,2
A-3,2,1001407,110,9103.7,0.083333333,Rhino,17892,Bull,11544,,,,,,,29436,20.84450421,15.34816016,,550129.0302,18.6889873,15.34816016,20.84450421,2,13,11,27,,,60.78271504,49.42890502,4,3,3,2,3,1
A-3,3,974002.1,111,8774.793694,0,Bull,14364,Rhino,1170,,,,,,,15534,16.24974907,21.45779523,,258517.0161,16.64201211,16.24974907,21.45779523,2,12,9,18,,,92.46813441,-47.22788422,-1,-2,3,2,2.5,2
A-3,4,1008164.8,112,9001.471429,0,Bull,24351,Rhino,240,,,,,,,24591,17.20630915,23.01000023,,424513.2343,17.26295125,17.20630915,23.01000023,2,14,13,23,,,99.02403318,58.30436462,2,4,3,2,2.5,2
A-3,5,966849,109,8870.174312,0.026785714,Bull,17580,,,,,,,,,17580,16.92709926,,,297578.405,16.92709926,16.92709926,16.92709926,1,4,4,9,,,100,-28.51043065,-10,-9,3,2,2.5,2
A-3,6,964045.8,109,8844.456881,0,Bull,12864,Rhino,1218,,,,,,,14082,17.22173528,20.51325098,,246525.5423,17.50642965,17.22173528,20.51325098,2,17,12,35,,,91.35066042,-19.89761092,13,8,3,2,2.5,2
A-3,7,932783.3,106,8799.842453,0.027522936,Bull,62541,Rhino,19423,Premium,501,,,,,82465,17.83999195,27.87154911,35.46680069,1674848.902,20.3098151,17.83999195,35.46680069,3,47,32,127,,,75.83944704,485.6057378,30,20,3,2,2.5,2
A-3,8,923422.5,103,8965.26699,0.028301887,Bull,22431,Rhino,288,,,,,,,22719,19.96873096,30.03999996,,456570.1242,20.09640055,19.96873096,30.03999996,2,11,8,16,,,98.73233857,-72.45013036,-36,-24,3,2,2.5,2
