repriskID,company_name,headquarters_country,headquarters_country_isocode,sectors,url,isins,primary_isin,no_reported_risk_exposure
2581776,Fiat Fashion Ltd,Bangladesh,BD,Personal and Household Goods | Retail,https://fiatfashion.net/,,,True
2581778,Nice Cotton Ltd,Bangladesh,BD,Personal and Household Goods,https://www.nicecotton.net/,,,True
2581780,Pretty Sweaters Ltd,Bangladesh,BD,Personal and Household Goods,https://prettygroupbd.com/sister-concern/pretty-sweaters-ltd/,,,True
2581798,Bali Turtle Island Development; PT,Indonesia,ID,Travel and Leisure | Financial Services,,,,False
2581808,Moonlight Washing and Dyeing Ltd,Bangladesh,BD,Unspecified,,,,True
2581813,Mirae Fiber JSC (Mirae Fiber; CTCP),Vietnam,VN,Personal and Household Goods,,,VN000000KMF7,True
2581817,Rising Knit Textiles Ltd,Bangladesh,BD,Personal and Household Goods,https://rising-group.org/,,,True
2581822,KC Washing Plant (NIPA Group),Bangladesh,BD,Personal and Household Goods,,,,True
2581885,Blue Planet Knitwear Ltd,Bangladesh,BD,Personal and Household Goods,https://bpkw.net/,,,True
2581886,Aspire Garments Ltd,Bangladesh,BD,Personal and Household Goods,https://www.aspiregarments.com/,,,True
2581887,Blue Planet Knit Composite Ltd,Bangladesh,BD,Personal and Household Goods,https://www.blueplanetgroup.com/,,,True
2581888,Nassa Taipei Denims Ltd,Bangladesh,BD,Personal and Household Goods,https://nassadenim.com/,,,True
2581889,Great Fashion (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods | Retail,,,,True
2581891,Yogotex Fabrics Co Ltd,Bangladesh,BD,Personal and Household Goods,https://www.yogotexbd.com/,,,True
2581892,RSS Thread & Accessories Ltd,Bangladesh,BD,General Industrials | Support Services (Industrial Goods and Services) | Personal and Household Goods,https://www.rssbd.com/,,,True
2581894,JW Zhongrun (Cambodia) Garment Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2581896,Apparel Wet Processing Ltd,Bangladesh,BD,Personal and Household Goods,https://abagroupbd.com/awpl/,,,True
2581899,Unitex Labels Ltd,Bangladesh,BD,Personal and Household Goods,https://unitex-bd.net/,,,True
2581901,PN Composite Ltd,Bangladesh,BD,Personal and Household Goods,https://www.pncomposite.net/,,,True
2581902,Dip Knitwear Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2581906,Confidence Industries Ltd,Bangladesh,BD,Personal and Household Goods,http://confidence-bd.50webs.com/,,,True
2581907,Echotex Ltd,Bangladesh,BD,Personal and Household Goods,https://www.echotex.com/,,,True
2581908,Nassa Spinning Ltd,Bangladesh,BD,Personal and Household Goods,https://nassa.com.bd/spinning,,,True
2581910,Quan Cheng Yuan Garment (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2581912,Amber Denim Mills Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2581931,Mim Design Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2581946,Carlos Leather Fashion Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2581949,Birds A. And Z. Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
258195,Bay Footwear Ltd,Bangladesh,BD,Personal and Household Goods,,,,False
2581955,Apex Yarn Dyeing Ltd,Bangladesh,BD,Personal and Household Goods,https://www.apexthreads.com/,,,True
2581958,Aaron Denim Ltd (ADL),Bangladesh,BD,Personal and Household Goods,https://aarondenimltd.com/,,,True
2581997,Jamuna Denims Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2581998,Everway Yarn Dyeing Ltd,Bangladesh,BD,Personal and Household Goods,https://www.everwaygroup.com/,,,True
2582001,Labib Dyeing Mills Ltd,Bangladesh,BD,Personal and Household Goods,https://labibgroup.com/companies/7/labib-dyeing-mills-ltd,,,True
2582003,Brothers Fashion Ltd,Bangladesh,BD,Personal and Household Goods,https://teambd.com/industry/textile/manufacturing/brothers-fashion/,,,True
2582005,Sun Washing Plant Ltd,Bangladesh,BD,Retail,,,,True
2582007,Jeans Manufacturing Co Ltd (JMCL),Bangladesh,BD,Personal and Household Goods,http://www.jeansbd.com/,,,True
2582010,Mi Qi (Cambodia) Garment Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582016,Sincere Season (Cambodia) Garment Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582017,Natural Denims Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582023,Goldfame Star Enterprises (Cambodia) Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582029,Global Fashion Garments Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582035,Global Outerwear Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582037,Wash & Wears Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582038,Travis Garment (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582041,SD Jinda Garment (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582042,Hi-Synergy International Garme Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582044,Tusuka Processing Ltd,Bangladesh,BD,Personal and Household Goods,http://www.tusuka.com/factory/tusuka-processing-ltd/,,,True
2582046,JCW Washing Co Ltd,Cambodia,KH,Unspecified,,,,True
2582047,Impress Fashion Ltd,Bangladesh,BD,Personal and Household Goods,https://impress-fashion-ltd.business.site/,,,True
2582048,Liz Apparels Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582050,Agami Washing Ltd,Bangladesh,BD,Retail,,,,True
2582052,Vintage Garments Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582056,AR Wet Processing Ltd,Bangladesh,BD,Retail,,,,True
2582058,Hoorain HTF LTD,Bangladesh,BD,Personal and Household Goods,https://www.hoorainhtf.com/,,,True
2582059,Nassa Spinners and Garments Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582060,SYSG Garment Co Ltd (formerly Bing Win Garment (Cambodia) Co Ltd),Cambodia,KH,Personal and Household Goods,,,,False
2582066,AJ Super Garments Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582076,Thermax Yarn Dyeing Ltd,Bangladesh,BD,Personal and Household Goods,https://www.thermaxgroup.com/index.php/brochure/tydl#page/1,,,True
2582078,Xiang Fa Import Export Service Trading Company Ltd,Vietnam,VN,Retail,,,,True
2582081,Croydon-Kowloon Designs Ltd,Bangladesh,BD,Personal and Household Goods,https://ckdlbd.com/,,,True
2582085,Uniglory Paper & Packaging Ltd,Bangladesh,BD,General Industrials,https://www.uniglory-bd.com/index.php/project/111-industrix/project/333-vestibulum-iaculis,,,True
2582092,NZ Fabrics Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582094,EH Fabrics Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582095,Vien Thinh Shoes Co Ltd,Vietnam,VN,Personal and Household Goods,,,,True
2582096,New Rainbow (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods | Retail,,,,True
2582098,Southern Knitwear Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582103,Anamica Washing & Dyeing Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582105,Jamuna Denims Weaving Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582108,Crony Tex Sweater Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582110,Knitex Dresses Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582112,NZ Denim Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582115,Lonso (Cambodia) Garment Co Ltd,Cambodia,KH,Personal and Household Goods,,,,True
2582118,Dekko Washing Ltd,Bangladesh,BD,Retail,,,,True
2582121,Dhaka Beijing Dyeing and Weaving Industry Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582124,Mahmud Denims Ltd,Bangladesh,BD,Personal and Household Goods | Retail,http://www.mahmudgroup-bd.com/mahmud-denims,,,True
2582125,Tamishna Fashion Wear Ltd,Bangladesh,BD,Personal and Household Goods,http://www.tamishna.com/,,,True
2582128,Baly Yarn Dyeing Ltd,Bangladesh,BD,Personal and Household Goods,https://balyyarn.com/,,,True
2582131,Raj Washing Plant Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
2582133,Reedisha Texstripe Ltd,Bangladesh,BD,Personal and Household Goods | Retail,https://www.groupreedisha-bd.com/rtsl,,,True
2582144,Al-Madina Washing Plant Ltd,Bangladesh,BD,Personal and Household Goods,http://almadinawashing.com/factory-profile-al-madina-washing.pdf,,,True
2582146,Winter Dress Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582148,Debonair Padding and Quilting Solution Ltd,Bangladesh,BD,Personal and Household Goods | Retail,,,,True
2582156,Sim Fabrics Ltd,Bangladesh,BD,Personal and Household Goods,,,,True
