QuestID,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1pol19,buyer1gov19,buyer1trace19,buyer2trace19,buyer3trace19,buyertracemx19,buyer1know19,buyer2know19,buyer3know19,buyerknowmx19
39243,75,,,,0,0,0,0,0,0,0,0,0,0
42177,75,,,,0,0,0,0,0,0,0,0,0,0
11341,77,victoria secret,walmart,kohl's,6,5,2,1,1,2,2,3,1,3
17170,77,victoria secret,walmart,kohl's,6,5,2,1,1,2,2,3,1,3
23212,77,victoria secret,walmart,kohl's,6,5,2,1,1,2,2,3,1,3
30184,77,victoria secret,walmart,kohl's,6,5,2,1,1,2,2,3,1,3
37200,77,victoria secret,walmart,kohl's,6,5,2,1,1,2,2,3,1,3
40760,77,victoria secret,walmart,kohl's,6,5,2,1,1,2,2,3,1,3
9921,78,gap,jc penney,kohl's,10,5,5,1,1,5,5,2,1,5
16137,78,gap,jc penney,kohl's,10,5,5,1,1,5,5,2,1,5
22235,78,gap,jc penney,kohl's,10,5,5,1,1,5,5,2,1,5
30124,78,gap,jc penney,kohl's,10,5,5,1,1,5,5,2,1,5
37127,78,gap,jc penney,kohl's,10,5,5,1,1,5,5,2,1,5
40746,78,gap,jc penney,kohl's,10,5,5,1,1,5,5,2,1,5
12398,80,gap,,,10,5,5,0,0,5,5,0,0,5
17845,80,gap,,,10,5,5,0,0,5,5,0,0,5
23889,80,gap,,,10,5,5,0,0,5,5,0,0,5
30565,80,gap,,,10,5,5,0,0,5,5,0,0,5
37614,80,gap,,,10,5,5,0,0,5,5,0,0,5
11342,81,walmart,target,,8,7,1,2,0,2,3,5,0,5
17022,81,walmart,target,,8,7,1,2,0,2,3,5,0,5
24344,81,walmart,target,,8,7,1,2,0,2,3,5,0,5
38490,81,walmart,target,,8,7,1,2,0,2,3,5,0,5
42186,81,walmart,target,,8,7,1,2,0,2,3,5,0,5
12366,82,ann taylor,kohl's,jc penney,0,0,0,1,1,1,0,1,2,2
18000,82,ann taylor,kohl's,jc penney,0,0,0,1,1,1,0,1,2,2
24256,82,ann taylor,kohl's,jc penney,0,0,0,1,1,1,0,1,2,2
37924,82,ann taylor,kohl's,jc penney,0,0,0,1,1,1,0,1,2,2
41242,82,ann taylor,kohl's,jc penney,0,0,0,1,1,1,0,1,2,2
9095,83,li & fung,prl,eddie bauer,0,0,0,0,1,1,0,0,1,1
14706,83,li & fung,prl,eddie bauer,0,0,0,0,1,1,0,0,1,1
19779,83,li & fung,prl,eddie bauer,0,0,0,0,1,1,0,0,1,1
26772,83,li & fung,prl,eddie bauer,0,0,0,0,1,1,0,0,1,1
33478,83,li & fung,prl,eddie bauer,0,0,0,0,1,1,0,0,1,1
39546,83,li & fung,prl,eddie bauer,0,0,0,0,1,1,0,0,1,1
8410,84,puma,levi's,fred perry,10,10,5,5,0,5,5,4,0,5
14513,84,puma,levi's,fred perry,10,10,5,5,0,5,5,4,0,5
19922,84,puma,levi's,fred perry,10,10,5,5,0,5,5,4,0,5
26388,84,puma,levi's,fred perry,10,10,5,5,0,5,5,4,0,5
33172,84,puma,levi's,fred perry,10,10,5,5,0,5,5,4,0,5
39327,84,puma,levi's,fred perry,10,10,5,5,0,5,5,4,0,5
42090,84,puma,levi's,fred perry,10,10,5,5,0,5,5,4,0,5
10174,85,walmart,kmart,jc penney,8,7,1,1,1,1,3,2,2,3
15974,85,walmart,kmart,jc penney,8,7,1,1,1,1,3,2,2,3
20996,85,walmart,kmart,jc penney,8,7,1,1,1,1,3,2,2,3
28493,85,walmart,kmart,jc penney,8,7,1,1,1,1,3,2,2,3
34918,85,walmart,kmart,jc penney,8,7,1,1,1,1,3,2,2,3
39841,85,walmart,kmart,jc penney,8,7,1,1,1,1,3,2,2,3
12354,86,h&m,ascena,tommy hilfiger,10,9,5,0,3,5,5,0,4,5
17853,86,h&m,ascena,tommy hilfiger,10,9,5,0,3,5,5,0,4,5
25308,86,h&m,ascena,tommy hilfiger,10,9,5,0,3,5,5,0,4,5
31845,86,h&m,ascena,tommy hilfiger,10,9,5,0,3,5,5,0,4,5
38238,86,h&m,ascena,tommy hilfiger,10,9,5,0,3,5,5,0,4,5
41727,86,h&m,ascena,tommy hilfiger,10,9,5,0,3,5,5,0,4,5
9970,89,carter's,tj- maxx,abercrombie & fitch,0,0,0,1,1,1,0,1,3,3
16218,89,carter's,tj- maxx,abercrombie & fitch,0,0,0,1,1,1,0,1,3,3
22633,89,carter's,tj- maxx,abercrombie & fitch,0,0,0,1,1,1,0,1,3,3
29932,89,carter's,tj- maxx,abercrombie & fitch,0,0,0,1,1,1,0,1,3,3
37619,89,carter's,tj- maxx,abercrombie & fitch,0,0,0,1,1,1,0,1,3,3
40740,89,carter's,tj- maxx,abercrombie & fitch,0,0,0,1,1,1,0,1,3,3
9499,90,jones apparel,,,0,0,0,0,0,0,0,0,0,0
15443,90,jones apparel,,,0,0,0,0,0,0,0,0,0,0
22171,90,jones apparel,,,0,0,0,0,0,0,0,0,0,0
28714,90,jones apparel,,,0,0,0,0,0,0,0,0,0,0
35714,90,jones apparel,,,0,0,0,0,0,0,0,0,0,0
12466,91,target,vf,uniqlo,8,4,2,0,3,3,5,0,4,5
18063,91,target,vf,uniqlo,8,4,2,0,3,3,5,0,4,5
24492,91,target,vf,uniqlo,8,4,2,0,3,3,5,0,4,5
31689,91,target,vf,uniqlo,8,4,2,0,3,3,5,0,4,5
38487,91,target,vf,uniqlo,8,4,2,0,3,3,5,0,4,5
41415,91,target,vf,uniqlo,8,4,2,0,3,3,5,0,4,5
10263,93,reebok,5.11 tactical,puma,10,7,6,0,5,6,6,0,5,6
16267,93,reebok,5.11 tactical,puma,10,7,6,0,5,6,6,0,5,6
24037,93,reebok,5.11 tactical,puma,10,7,6,0,5,6,6,0,5,6
38943,93,reebok,5.11 tactical,puma,10,7,6,0,5,6,6,0,5,6
41999,93,reebok,5.11 tactical,puma,10,7,6,0,5,6,6,0,5,6
12700,94,new balance,,,7,5,5,0,0,5,4,0,0,4
19180,94,new balance,,,7,5,5,0,0,5,4,0,0,4
28997,94,new balance,,,7,5,5,0,0,5,4,0,0,4
36042,94,new balance,,,7,5,5,0,0,5,4,0,0,4
40790,94,new balance,,,7,5,5,0,0,5,4,0,0,4
8744,95,costco,express,american eagle,6,1,1,1,1,1,1,1,1,1
14412,95,costco,express,american eagle,6,1,1,1,1,1,1,1,1,1
21266,95,costco,express,american eagle,6,1,1,1,1,1,1,1,1,1
28353,95,costco,express,american eagle,6,1,1,1,1,1,1,1,1,1
34937,95,costco,express,american eagle,6,1,1,1,1,1,1,1,1,1
39836,95,costco,express,american eagle,6,1,1,1,1,1,1,1,1,1
8916,101,kohl's,walmart,jc penney,4,1,1,1,1,1,1,3,2,3
17978,101,kohl's,walmart,jc penney,4,1,1,1,1,1,1,3,2,3
25681,101,kohl's,walmart,jc penney,4,1,1,1,1,1,1,3,2,3
11279,102,gap,dick's,tweenbrands,10,5,5,1,0,5,5,2,0,5
16483,102,gap,dick's,tweenbrands,10,5,5,1,0,5,5,2,0,5
23337,102,gap,dick's,tweenbrands,10,5,5,1,0,5,5,2,0,5
29507,102,gap,dick's,tweenbrands,10,5,5,1,0,5,5,2,0,5
36568,102,gap,dick's,tweenbrands,10,5,5,1,0,5,5,2,0,5
40275,102,gap,dick's,tweenbrands,10,5,5,1,0,5,5,2,0,5
27762,103,vf,columbia,pvh,0,0,0,3,0,3,0,2,0,2
34622,103,vf,columbia,pvh,0,0,0,3,0,3,0,2,0,2
39646,103,vf,columbia,pvh,0,0,0,3,0,3,0,2,0,2
43528,103,vf,columbia,pvh,0,0,0,3,0,3,0,2,0,2
11714,105,calvin klein,talbots,gap,9,5,3,0,5,5,4,0,5,5
17870,105,calvin klein,talbots,gap,9,5,3,0,5,5,4,0,5,5
24757,105,calvin klein,talbots,gap,9,5,3,0,5,5,4,0,5,5
31646,105,calvin klein,talbots,gap,9,5,3,0,5,5,4,0,5,5
38000,105,calvin klein,talbots,gap,9,5,3,0,5,5,4,0,5,5
41462,105,calvin klein,talbots,gap,9,5,3,0,5,5,4,0,5,5
8702,106,jc penney,abercrombie & fitch,chaus,6,2,1,1,0,1,2,3,0,3
14213,106,jc penney,abercrombie & fitch,chaus,6,2,1,1,0,1,2,3,0,3
20189,106,jc penney,abercrombie & fitch,chaus,6,2,1,1,0,1,2,3,0,3
11701,108,jones apparel,,,0,0,0,0,0,0,0,0,0,0
17191,108,jones apparel,,,0,0,0,0,0,0,0,0,0,0
22166,108,jones apparel,,,0,0,0,0,0,0,0,0,0,0
29064,108,jones apparel,,,0,0,0,0,0,0,0,0,0,0
35951,108,jones apparel,,,0,0,0,0,0,0,0,0,0,0
41734,108,jones apparel,,,0,0,0,0,0,0,0,0,0,0
13114,109,walmart,north face,sears,8,7,1,0,0,1,3,0,0,3
17937,109,walmart,north face,sears,8,7,1,0,0,1,3,0,0,3
23753,109,walmart,north face,sears,8,7,1,0,0,1,3,0,0,3
30598,109,walmart,north face,sears,8,7,1,0,0,1,3,0,0,3
37014,109,walmart,north face,sears,8,7,1,0,0,1,3,0,0,3
40951,109,walmart,north face,sears,8,7,1,0,0,1,3,0,0,3
8693,110,nike,justice,,9,7,7,0,0,7,4,0,0,4
14679,110,nike,justice,,9,7,7,0,0,7,4,0,0,4
20490,110,nike,justice,,9,7,7,0,0,7,4,0,0,4
27347,110,nike,justice,,9,7,7,0,0,7,4,0,0,4
34234,110,nike,justice,,9,7,7,0,0,7,4,0,0,4
39458,110,nike,justice,,9,7,7,0,0,7,4,0,0,4
42376,110,nike,justice,,9,7,7,0,0,7,4,0,0,4
8730,111,adidas,decathlon,nike,10,7,6,1,7,7,6,1,4,6
12547,111,adidas,decathlon,nike,10,7,6,1,7,7,6,1,4,6
19048,111,adidas,decathlon,nike,10,7,6,1,7,7,6,1,4,6
26941,111,adidas,decathlon,nike,10,7,6,1,7,7,6,1,4,6
33256,111,adidas,decathlon,nike,10,7,6,1,7,7,6,1,4,6
39353,111,adidas,decathlon,nike,10,7,6,1,7,7,6,1,4,6
42431,111,adidas,decathlon,nike,10,7,6,1,7,7,6,1,4,6
12810,112,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
17838,112,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
23829,112,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
30620,112,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
37413,112,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
42375,112,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
8212,112,,,,0,0,0,0,0,0,0,0,0,0
14617,117,,,,0,0,0,0,0,0,0,0,0,0
20614,117,,,,0,0,0,0,0,0,0,0,0,0
28324,117,,,,0,0,0,0,0,0,0,0,0,0
34090,117,,,,0,0,0,0,0,0,0,0,0,0
8616,118,levis,abercrombie & fitch,uniqlo,9,5,5,1,3,5,4,3,4,4
14511,118,levis,abercrombie & fitch,uniqlo,9,5,5,1,3,5,4,3,4,4
20288,118,levis,abercrombie & fitch,uniqlo,9,5,5,1,3,5,4,3,4,4
29147,118,levis,abercrombie & fitch,uniqlo,9,5,5,1,3,5,4,3,4,4
35759,118,levis,abercrombie & fitch,uniqlo,9,5,5,1,3,5,4,3,4,4
40244,118,levis,abercrombie & fitch,uniqlo,9,5,5,1,3,5,4,3,4,4
13145,119,,,,0,0,0,0,0,0,0,0,0,0
9208,120,,,,0,0,0,0,0,0,0,0,0,0
8514,121,nike,columbia,imperial headwear,9,7,7,3,0,7,4,2,0,4
14332,121,nike,columbia,imperial headwear,9,7,7,3,0,7,4,2,0,4
20204,121,nike,columbia,imperial headwear,9,7,7,3,0,7,4,2,0,4
27605,121,nike,columbia,imperial headwear,9,7,7,3,0,7,4,2,0,4
34355,121,nike,columbia,imperial headwear,9,7,7,3,0,7,4,2,0,4
39554,121,nike,columbia,imperial headwear,9,7,7,3,0,7,4,2,0,4
10373,124,target,carter's,kohl's,8,4,2,0,1,2,5,0,1,5
16925,124,target,carter's,kohl's,8,4,2,0,1,2,5,0,1,5
22991,124,target,carter's,kohl's,8,4,2,0,1,2,5,0,1,5
19031,125,macys,gap,,5,1,1,5,0,5,1,5,0,5
25948,125,macys,gap,,5,1,1,5,0,5,1,5,0,5
33012,125,macys,gap,,5,1,1,5,0,5,1,5,0,5
39310,125,macys,gap,,5,1,1,5,0,5,1,5,0,5
42009,125,macys,gap,,5,1,1,5,0,5,1,5,0,5
12185,126,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
17070,126,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
22432,126,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
30097,126,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
36658,126,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
41776,126,under armour,american eagle,spider,7,2,3,1,0,3,2,1,0,2
18797,129,bcbg maxazria inc,charming shoppes inc.,american eagle,1,1,1,0,1,1,1,0,1,1
8700,130,reebok,walmart,sears,10,7,6,1,0,6,6,3,0,6
13942,130,reebok,walmart,sears,10,7,6,1,0,6,6,3,0,6
19412,130,reebok,walmart,sears,10,7,6,1,0,6,6,3,0,6
9528,131,fishman & tobin,,,0,0,0,0,0,0,0,0,0,0
14355,131,fishman & tobin,,,0,0,0,0,0,0,0,0,0,0
20283,131,fishman & tobin,,,0,0,0,0,0,0,0,0,0,0
26812,131,fishman & tobin,,,0,0,0,0,0,0,0,0,0,0
34959,131,fishman & tobin,,,0,0,0,0,0,0,0,0,0,0
12195,139,,,,0,0,0,0,0,0,0,0,0,0
8214,139,,,,0,0,0,0,0,0,0,0,0,0
12614,141,jones apparel,,,0,0,0,0,0,0,0,0,0,0
17509,141,jones apparel,,,0,0,0,0,0,0,0,0,0,0
23415,141,jones apparel,,,0,0,0,0,0,0,0,0,0,0
30206,141,jones apparel,,,0,0,0,0,0,0,0,0,0,0
