repriskID,company_name,headquarters_country,headquarters_country_isocode,sectors,url,isins,primary_isin,no_reported_risk_exposure,cName
2545721,Alif Textiles Ltd,Bangladesh,BD,Personal and Household Goods,http://aliftextile.com/,,,0,alif textiles ltd
2545724,Lava Electrodes Industries Ltd,Bangladesh,BD,Unspecified,,,,0,lava electrodes industries ltd
2545728,Monarch Holdings Ltd,Bangladesh,BD,Financial Services,https://monarchholdingsbd.com/,,,0,monarch holdings ltd
2545740,Synergindo Niagatama; PT,Indonesia,ID,Support Services (Industrial Goods and Services),https://www.sinergy.web.id/,,,0,synergindo niagatama pt
2545745,Komodo Wildlife Ecotourism; PT,Indonesia,ID,Travel and Leisure,,,,0,komodo wildlife ecotourism pt
2545760,Segara Komodo Lestari; PT,Indonesia,ID,Travel and Leisure,,,,0,segara komodo lestari pt
2545772,Sun Global Energy Inc,Indonesia,ID,Unspecified,,,,1,sun global energy inc
2545803,DIT Co-operative Ltd,Bangladesh,BD,Unspecified,,,,0,dit co-operative ltd
2545811,Fudex Rubber Products (M) Sdn Bhd,Indonesia,ID,Chemicals,,,,0,fudex rubber products sdn bhd
2545838,Mandiri Bahari Line; PT,Indonesia,ID,Industrial Transportation,,,,1,mandiri bahari line pt
2545860,Mitra Sentosa Abadi; PT,Indonesia,ID,Industrial Transportation,,,,1,mitra sentosa abadi pt
2545981,Gema Putra Buana; PT,Indonesia,ID,Industrial Transportation,,,,0,gema putra buana pt
2546041,Angsana Terminal Utama; PT,Indonesia,ID,Industrial Transportation,,,,0,angsana terminal utama pt
2546099,Ciubros Farma; PT,Indonesia,ID,Pharmaceuticals and Biotechnology,,,,0,ciubros farma pt
2546101,Samco Farma; PT,Indonesia,ID,Pharmaceuticals and Biotechnology,https://www.samcofarma.co.id/,,,0,samco farma pt
254625,Body Kids Fashion Wear Co Ltd,Cambodia,KH,Personal and Household Goods | Retail,,,,0,body kids fashion wear
2546273,Sucorinvest Inti Investama; PT (Sucor Investama),Indonesia,ID,Financial Services,,,,0,sucorinvest inti investama pt
2546275,Aldiracita Sekuritas Indonesia; PT (Aldiracita; Aldira),Indonesia,ID,Financial Services,https://aldiracita.com/en/home/,,,0,aldiracita sekuritas indonesia pt
2546276,Karya Mulia Berdikari; PT,Indonesia,ID,Financial Services,,,,0,karya mulia berdikari pt
2546277,Bank Riau Kepri Tbk; PT (Bank Pembangunan Daerah Riau),Indonesia,ID,Banks,http://www.bankriaukepri.co.id/,,,0,bank riau kepri tbk pt
2546280,Bank Pembangunan Daerah Sumatera Selatan dan Bangka Belitung (formerly Bank Pembangunan Sumatera Selatan; PT; Bank Sumsel) (Bank Sumsel Babel),Indonesia,ID,Banks,https://www.banksumselbabel.com/,,,0,bank pembangunan daerah sumatera selatan dan bangka belitung (formerly bank pembangunan sumatera selatan pt bank sumsel) (bank sumsel babel)
2546283,Gratamulia Pratama; PT,Indonesia,ID,Banks,,,,0,gratamulia pratama pt
2546325,Asta Kapital Asia; PT,Indonesia,ID,Banks,,,,0,asta kapital asia pt
2546361,Multiintegra; PT,Indonesia,ID,Electronic and Electrical Equipment,https://multiintegra.co.id/,,,1,multiintegra pt
2546440,Sethikula Co Ltd,Cambodia,KH,Forestry,,,,0,sethikula
2546447,Varanasi Co Ltd,Cambodia,KH,Forestry,www.socfin.com,,,0,varanasi
2546455,Bank Danpac; PT,Indonesia,ID,Banks,,,,0,bank danpac pt
2546564,Putra Indragiri Sukses (PIS); PT,Indonesia,ID,Oil and Gas,,,,0,putra indragiri sukses  pt
2546627,Pasir Jaya; CV,Indonesia,ID,Construction and Materials,,,,0,pasir jaya cv
