QuestID,hrsigned,recruit,discfire,grievdispute,accounthr,comimplhr,investihr,emergencepr,riskcontr,accidentinvesti,accohs,impleosh,invstiosh,mngsum13items,mngitems
42836,1.0,,,,,,,,,,,,,1.0,1
42660,1.0,,,,,,,,,,,,,1.0,1
43317,0.0,,,,,,,,,,,,,0.0,1
42788,1.0,,,,,,,,,,,,,1.0,1
42988,0.0,,,,,,,,,,,,,0.0,1
43585,0.0,,,,,,,,,,,,,0.0,1
42341,0.0,,,,,,,,,,,,,0.0,1
42521,1.0,,,,,,,,,,,,,1.0,1
42569,1.0,,,,,,,,,,,,,1.0,1
42641,0.0,,,,,,,,,,,,,0.0,1
42409,1.0,,,,,,,,,,,,,1.0,1
42433,1.0,,,,,,,,,,,,,1.0,1
42451,1.0,,,,,,,,,,,,,1.0,1
43019,1.0,,,,,,,,,,,,,1.0,1
42520,1.0,,,,,,,,,,,,,1.0,1
42524,1.0,,,,,,,,,,,,,1.0,1
43358,1.0,,,,,,,,,,,,,1.0,1
42138,0.0,,,,,,,,,,,,,0.0,1
43669,1.0,,,,,,,,,,,,,1.0,1
42593,1.0,,,,,,,,,,,,,1.0,1
42732,1.0,,,,,,,,,,,,,1.0,1
43143,1.0,,,,,,,,,,,,,1.0,1
42856,1.0,,,,,,,,,,,,,1.0,1
42571,0.0,,,,,,,,,,,,,0.0,1
42183,1.0,,,,,,,,,,,,,1.0,1
43001,1.0,,,,,,,,,,,,,1.0,1
42934,1.0,,,,,,,,,,,,,1.0,1
42523,1.0,,,,,,,,,,,,,1.0,1
43034,1.0,,,,,,,,,,,,,1.0,1
43069,1.0,,,,,,,,,,,,,1.0,1
43008,0.0,,,,,,,,,,,,,0.0,1
43105,1.0,,,,,,,,,,,,,1.0,1
43218,1.0,,,,,,,,,,,,,1.0,1
43244,1.0,,,,,,,,,,,,,1.0,1
43646,1.0,,,,,,,,,,,,,1.0,1
43253,1.0,,,,,,,,,,,,,1.0,1
43553,1.0,,,,,,,,,,,,,1.0,1
43324,1.0,,,,,,,,,,,,,1.0,1
42394,1.0,,,,,,,,,,,,,1.0,1
40729,1.0,,,,,,,,,,,,1.0,2.0,2
42087,,,,,0.0,,,,1.0,,,,,1.0,2
41469,,,,,0.0,,,,1.0,,,,,1.0,2
43533,1.0,,,,,,,,1.0,,,,,2.0,2
43451,1.0,,,1.0,,,,,,,,,,2.0,2
41281,,,,,0.0,,,,1.0,,,,,1.0,2
41304,,,,,0.0,,,,1.0,,,,,1.0,2
40193,1.0,,,,,,,,1.0,,,,,2.0,2
43452,1.0,,,,,,,,1.0,,,,,2.0,2
41178,,,,,0.0,,,,1.0,,,,,1.0,2
40251,,,,,0.0,,,,1.0,,,,,1.0,2
41377,,,,1.0,,,,,1.0,,,,,2.0,2
42388,,,,,0.0,,,,1.0,,,,,1.0,2
41577,,,,,0.0,,,,,,,,0.0,0.0,2
42277,,,,,0.0,,,,1.0,,,,,1.0,2
42081,1.0,,,1.0,,,,,,,,,,2.0,2
41059,,,,,0.0,,,,1.0,,,,,1.0,2
39852,1.0,,,,0.0,,,,,,,,,1.0,2
