SI Month,Fty Country (COO),Factory Abbr,INTL/NA,Mkt Region,Market,GBU (PPM),Line Plan Business (PPM),Order#,PO Ln#,Style,Gender (PPM),Wid/Col (2),Quantity,Ship Mode,Release Date,Customer Target XFD (CTXFD),NB Requested XFD (NBRXFD),Orig Fact Cfm XFD (OCXFD),NB Curr Req XFD,Vendor Current Req XFD,Curr Fact Cfm XFD (CCXFD),SI Date,Act XFD,ETA,Line Status,Historical Reason Codes,Item,Model#,PO Identifier,Reason For Delay,Reason Remark,Copy From Orig.PO,Start Production Dt,Customer Request Date,Original Customer Target XFD (OCTXFD),Current Customer Target XFD (CCTXFD),Exp XFD,SI Comment,SI vs NBRXFD,SI vs NBRXFD Early/On-time/Late,SI vs NBRXFD On-time/Late Only,NB Req Late Category,SI vs OCXFD,SI vs OCXFD Early/On-time/Late,SI vs OCXFD On-time/Late Only,Orig Conf Late Category,SI vs CTXFD,SI vs CTXFD Early/On-time/Late,SI vs CXTFD On-time/Late Only,Customer Target Late Category,Air Freight Code,Confirmed FCA,Customer PO,Booking Request Send Date,Historical Reason Remarks,Production Complete Date,Intro Date (PPM),Intro Pd (PPM),SI vs CTXFD On-time/Late Only,Receipt Date,Customer Code,Local Style Description,Supplier Model No,Product Life,Local Segment,Made / Purchased,SMU?,Wid/Col,Feature Technology,World Trade Commodity,World Trade Country Code,Local Product Group Minor,Local Product Minor,Product Display Name,Closure Type
2023/06,CHINA,CJ,INTL,LA,PANAMA,Lifestyle,Lifestyle,7468791,7468791-2,UXC72DS,Mens,D,72,Sea,12/21/2022,5/18/2023,5/18/2023,5/18/2023,6/15/2023,6/15/2023,6/15/2023,6/15/2023,9/12/2023,6/15/2023,Received,"CDVC,CHOLD,CDBOK,CDMHLD",,UXC72V1,S223 - 1,CDVC,20230206 amend log,,5/18/2023,5/18/2023,5/18/2023,5/18/2023,9/12/2023,CDMHLD,28,On-time,On-time,On-time,28,On-time,On-time,On-time,28,On-time,On-time,On-time,,$18.84,BMCFZ23544,5/4/2023,20230206 amend log,6/14/2023,8/25/2023,2023-S2,On-time,9/23/2023,FE980920,,,,Running Inspired,P,,D,"No Feature, No Technology",,,C81,Mens Sport Lifestyle,XC-72,Lace
2023/06,CHINA,CJ,INTL,LA,PANAMA,Lifestyle,Lifestyle,7468791,7468791-1,UXC72DS,Mens,D,72,Sea,12/21/2022,5/18/2023,5/18/2023,5/18/2023,6/15/2023,6/15/2023,6/15/2023,6/15/2023,9/12/2023,6/15/2023,Received,"CDVC,CHOLD,CDBOK,CDMHLD",,UXC72V1,S223 - 1,CDVC,20230206 amend log,,5/18/2023,5/18/2023,5/18/2023,5/18/2023,9/12/2023,CDMHLD,28,On-time,On-time,On-time,28,On-time,On-time,On-time,28,On-time,On-time,On-time,,$18.84,BMCFZ23544,5/4/2023,20230206 amend log,6/14/2023,8/25/2023,2023-S2,On-time,9/23/2023,FE980920,,,,Running Inspired,P,,D,"No Feature, No Technology",,,C81,Mens Sport Lifestyle,XC-72,Lace
2023/05,CHINA,CJ,INTL,CHINA,CHINA,Lifestyle,Lifestyle,7473315,7473315-1,MS237RF,Mens,D,"6,264",Sea,1/9/2023,4/20/2023,4/20/2023,4/20/2023,4/20/2023,5/18/2023,5/18/2023,5/8/2023,5/23/2023,5/18/2023,Received,"CDVC,CDBOK,CDMHLD,NBPRC,NBLL",Futures Only,MS_WS237V1,S223 - 1,CDVC,20230306 Amend Log,,3/28/2023,4/20/2023,4/20/2023,4/20/2023,5/23/2023,CDMHLD,18,On-time,On-time,On-time,18,On-time,On-time,On-time,18,On-time,On-time,On-time,,$15.83,F2307591,5/8/2023,20230306 Amend Log,5/6/2023,6/25/2022,2022-S2,On-time,5/27/2023,FE981351,,,,,P,,D,"No Feature, No Technology",,,411,Mens Lifestyle,237,Lace
2023/05,CHINA,CJ,INTL,EMEA,UNITED KINGDOM,Lifestyle,Lifestyle,7479480,7479480-1,ML610STT,Mens,D,180,Sea,2/27/2023,4/2/2023,5/1/2023,5/15/2023,5/15/2023,5/15/2023,5/15/2023,5/15/2023,5/25/2023,5/15/2023,Received,"CDVC,NBPRC,CDBOK,FDMAT,SEH",Make To Order,ML610SV1,,CDVC,"TLC(tw) etd:4/14, eta:4/24",,4/21/2023,4/2/2023,4/2/2023,4/2/2023,5/25/2023,FDMAT,14,Late,Late,Material,0,On-time,On-time,On-time,43,Late,Late,Material,,$23.10,,4/11/2023,"TLC(tw) etd:4/14, eta:4/24",5/15/2023,9/25/2023,2023-S2,Late,6/26/2023,,,,,Running Inspired,P,,D,"No Feature, No Technology",,,C81,Mens Sport Lifestyle,Tokyo Design Studio 610S,Slip On
2023/05,CHINA,CJ,INTL,EMEA,UNITED KINGDOM,Lifestyle,Lifestyle,7479481,7479481-1,ML610STD,Mens,D,150,Sea,2/27/2023,4/2/2023,5/1/2023,5/15/2023,5/15/2023,5/15/2023,5/15/2023,5/15/2023,5/25/2023,5/15/2023,Received,"CDVC,NBPRC,CDBOK,FDMAT,SEH",Make To Order,ML610SV1,,CDVC,"TLC(tw) etd:4/14, eta:4/24",,4/21/2023,4/2/2023,4/2/2023,4/2/2023,5/25/2023,FDMAT,14,Late,Late,Material,0,On-time,On-time,On-time,43,Late,Late,Material,,$22.91,,4/11/2023,"TLC(tw) etd:4/14, eta:4/24",5/15/2023,9/25/2023,2023-S2,Late,6/26/2023,,,,,Running Inspired,P,,D,"No Feature, No Technology",,,C81,Mens Sport Lifestyle,Tokyo Design Studio 610S,Slip On
2023/05,CHINA,CJ,INTL,EMEA,NETHERLANDS,Lifestyle,Lifestyle,7479482,7479482-1,ML610STT,Mens,D,174,Sea,2/27/2023,4/2/2023,5/1/2023,5/15/2023,5/15/2023,5/15/2023,5/15/2023,5/15/2023,5/25/2023,5/15/2023,Received,"NBPRC,CDVC,CDBOK,NBPRC,CDBOK,FDMAT,SEH",Make To Order,ML610SV1,,NBPRC,"TLC(tw) etd:4/14, eta:4/24",,4/21/2023,4/2/2023,4/2/2023,4/2/2023,5/25/2023,FDMAT,14,Late,Late,Material,0,On-time,On-time,On-time,43,Late,Late,Material,,$23.10,,4/11/2023,"TLC(tw) etd:4/14, eta:4/24",5/15/2023,9/25/2023,2023-S2,Late,6/26/2023,,,,,Running Inspired,P,,D,"No Feature, No Technology",,,C81,Mens Sport Lifestyle,Tokyo Design Studio 610S,Slip On
2023/05,CHINA,CJ,INTL,EMEA,NETHERLANDS,Lifestyle,Lifestyle,7479483,7479483-1,ML610STD,Mens,D,246,Sea,2/27/2023,4/2/2023,5/1/2023,5/15/2023,5/15/2023,5/15/2023,5/15/2023,5/15/2023,5/25/2023,5/15/2023,Received,"NBPRC,CDVC,CDBOK,NBPRC,CDBOK,FDMAT,SEH",Make To Order,ML610SV1,,NBPRC,"TLC(tw) etd:4/14, eta:4/24",,4/21/2023,4/2/2023,4/2/2023,4/2/2023,5/25/2023,FDMAT,14,Late,Late,Material,0,On-time,On-time,On-time,43,Late,Late,Material,,$22.91,,4/11/2023,"TLC(tw) etd:4/14, eta:4/24",5/15/2023,9/25/2023,2023-S2,Late,6/26/2023,,,,,Running Inspired,P,,D,"No Feature, No Technology",,,C81,Mens Sport Lifestyle,Tokyo Design Studio 610S,Slip On
2023/04,CHINA,CJ,INTL,EMEA,ITALY,Lifestyle,Lifestyle,7484377,7484377-1,UALGSVT,Unisex,D,150,Sea,1/23/2023,4/23/2023,4/21/2023,4/21/2023,4/21/2023,4/21/2023,4/21/2023,4/21/2023,5/10/2023,4/21/2023,Received,"CDVC,NBPRC,CDBOK,CCWSDC,CCWOC,NBLL",Make To Order,UALGSV1,,CDVC,Waiting Vibram sole delivery,,3/29/2023,4/23/2023,4/23/2023,4/23/2023,5/10/2023,,0,On-time,On-time,On-time,0,On-time,On-time,On-time,-2,Early,On-time,On-time,,$28.14,,3/18/2023,Waiting Vibram sole delivery,4/19/2023,8/1/2023,2023-S2,On-time,6/12/2023,,,,,Other Sport,P,,D,"No Technology, Vibram Outsole",,,C89,Unisex Sport Lifestyle,ALLAGASH,Lace
2023/04,CHINA,CJ,INTL,EMEA,ITALY,Lifestyle,Lifestyle,7484378,7484378-1,UALGSBB,Unisex,D,156,Sea,1/23/2023,4/23/2023,4/21/2023,4/21/2023,4/21/2023,4/21/2023,4/21/2023,4/21/2023,5/10/2023,4/21/2023,Received,"CDVC,NBPRC,CDBOK,CCWSDC,CCWOC,NBLL",Make To Order,UALGSV1,,CDVC,Waiting Vibram sole delivery,,3/29/2023,4/23/2023,4/23/2023,4/23/2023,5/10/2023,,0,On-time,On-time,On-time,0,On-time,On-time,On-time,-2,Early,On-time,On-time,,$28.48,,3/18/2023,Waiting Vibram sole delivery,4/19/2023,8/1/2023,2023-S2,On-time,6/12/2023,,,,,Other Sport,P,,D,"No Technology, Vibram Outsole",,,C89,Unisex Sport Lifestyle,ALLAGASH,Lace
2023/04,CHINA,CJ,INTL,EMEA,UNITED KINGDOM,Lifestyle,Lifestyle,7485718,7485718-1,UALGSBB,Unisex,D,330,Sea,1/23/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/21/2023,4/17/2023,Received,"CDVC,NBPRC,CDBOK,CCWSDC,CCWOC",Make To Order,UALGSV1,,CDVC,Waiting Vibram sole delivery,,3/25/2023,4/17/2023,4/17/2023,4/17/2023,4/21/2023,,0,On-time,On-time,On-time,0,On-time,On-time,On-time,0,On-time,On-time,On-time,,$28.48,,3/18/2023,Waiting Vibram sole delivery,4/15/2023,8/1/2023,2023-S2,On-time,5/23/2023,,,,,Other Sport,P,,D,"No Technology, Vibram Outsole",,,C89,Unisex Sport Lifestyle,ALLAGASH,Lace
