conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,cus6,cus6ps,numbuyers,cus1share,allps,avgprice,minprice,maxprice,cus1price,cus2price,cus3price,numstyles,numartno,numbatches,pschange,stylesch,artnoch
C-6,2,945164.9,130,7270.499231,0,Crown,11083,,,,,,,,,,,1,100,11083,15.25874156,15.25874156,15.25874156,15.25874156,,,7,7,10,-33.11406156,-36.36363636,-12.5
C-6,3,1066021.4,149,7154.50604,0,Crown,27210,,,,,,,,,,,1,100,27210,15.54492234,15.54492234,15.54492234,15.54492234,,,7,5,10,145.5111432,0,-28.57142857
C-6,4,1023687.7,134,7639.460448,0.100671141,,,,,,,,,,,,,0,,0,,,,,,,0,0,0,-100,-100,-100
C-6,5,958886.2,132,7264.289394,0.014925373,Crown,528,,,,,,,,,,,1,100,528,15.63000011,15.63000011,15.63000011,15.63000011,,,1,1,1,inf,inf,inf
C-6,6,459386.4,72,6380.366667,0.454545455,Crown,13970,,,,,,,,,,,1,100,13970,15.68169874,15.68169874,15.68169874,15.68169874,,,3,3,8,2545.833333,200,200
C-6,7,362960.6,58,6257.941379,0.194444444,Crown,6889,,,,,,,,,,,1,100,6889,16.30316887,16.30316887,16.30316887,16.30316887,,,3,3,5,-50.68718683,0,0
C-6,8,352655,46,7666.413043,0.206896552,,,,,,,,,,,,,0,,0,,,,,,,0,0,0,-100,-100,-100
C-6,9,298253.1,38,7848.765789,0.173913043,,,,,,,,,,,,,0,,0,,,,,,,0,0,0,,,
C-7,6,358132.7,48,7461.097917,,Crown,6681,Rhino,144,,,,,,,,,2,97.89010989,6825,16.00654954,15.90043116,20.93000031,15.90043116,20.93000031,,5,5,5,,,
C-7,7,384174.2,49,7840.289796,0,Crown,8390,Rhino,906,Sparky,12,,,,,,,3,90.13751612,9308,18.47785208,17.40715408,21.44258302,18.15923493,21.44258302,17.40715408,15,9,19,36.38095238,200,80
C-7,8,400679.3,52,7705.371154,0,Crown,8760,Sparky,1500,,,,,,,,,2,85.38011696,10260,18.73513948,17.40715408,18.96253424,18.96253424,17.40715408,,12,6,15,10.22776107,-20,-33.33333333
C-7,9,438004.2,53,8264.230189,0,Crown,5380,,,,,,,,,,,1,100,5380,16.24095168,16.24095168,16.24095168,16.24095168,,,4,4,6,-47.56335283,-66.66666667,-33.33333333
