conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,cus6,cus6ps,numbuyers,cus1share,allps,avgprice,minprice,maxprice,cus1price,cus2price,cus3price,numstyles,numartno,numbatches,pschange,stylesch,artnoch
A-3,9,1040563.5,126,8258.440476,0,Bull,17169,Crown,468,,,,,,,,,2,97.3464875,17637,19.1915449,17.84000015,19.22838589,19.22838589,17.84000015,,15,7,45,-22.36894229,36.36363636,-12.5
A-4,1,1145621.9,116,9876.050862,,Bull,12702,Rhino,9282,,,,,,,,,2,57.77838428,21984,15.31449525,13.8566135,17.30954093,13.8566135,17.30954093,,15,9,30,,,
A-4,2,1173994,118,9949.101695,0,Rhino,22722,Bull,10539,,,,,,,,,2,68.3142419,33261,18.18884386,14.55463988,19.87447346,19.87447346,14.55463988,,35,18,70,51.29639738,133.3333333,100
A-4,3,1123469.6,120,9362.246667,0,Rhino,34938,Bull,2580,,,,,,,,,2,93.12330082,37518,20.58595984,14.5,21.03537813,21.03537813,14.5,,35,12,74,12.79877334,0,-33.33333333
A-4,4,1123315.2,119,9439.623529,0.008333333,Rhino,39614,Bull,12528,,,,,,,,,2,75.97330367,52142,19.95205924,15.28524883,21.42794657,21.42794657,15.28524883,,43,24,86,38.97862359,22.85714286,100
A-4,5,1107889.2,116,9550.768966,0.025210084,Rhino,29016,Bull,1020,,,,,,,,,2,96.60407511,30036,21.63066521,14.18823552,21.89228908,21.89228908,14.18823552,,29,13,74,-42.39576541,-32.55813953,-45.83333333
A-4,6,1096629.7,119,9215.37563,0,Rhino,25392,Bull,1200,Sparky,726,,,,,,,3,92.94970349,27318,20.30801524,13.85000038,20.72686189,20.72686189,13.85000038,16.33317184,29,13,57,-9.049141031,0,0
A-4,7,1097027.4,117,9376.302564,0.016806723,Rhino,31450,Bull,6462,Curfu,1932,,,,,,,3,78.93283807,39844,20.93316203,17.80979626,27.28910004,21.18446624,17.80979626,27.28910004,45,23,93,45.85255143,55.17241379,76.92307692
A-4,8,1075420.1,114,9433.509649,0.025641026,Rhino,31074,Crown,5264,,,,,,,,,2,85.51378722,36338,20.18869837,12.0658054,21.56473327,21.56473327,12.0658054,,32,9,110,-8.799317338,-28.88888889,-60.86956522
A-4,9,1098572.3,117,9389.506838,0,Bull,11601,Rhino,5976,Crown,3601,,,,,,,3,54.77854377,21178,16.11982114,13.30862808,20.72821293,14.61851581,20.72821293,13.30862808,22,14,31,-41.71941219,-31.25,55.55555556
B-1,1,1147866.6,125,9182.9328,,Sparky,17813,Rhino,4969,PortLand,2850,,,,,,,3,69.4951623,25632,17.34795565,15.98811765,20.46877834,15.98811765,20.46877834,20.40600002,30,26,38,,,
B-1,2,1131376.5,119,9507.365546,0.048,Rhino,22756,Sparky,6189,Lamby,1254,PortLand,524,,,,,4,74.0682876,30723,18.01854544,10.52799988,19.39122137,18.8531738,16.35124197,10.52799988,32,22,59,19.86189139,6.666666667,-15.38461538
B-1,3,1101308.7,121,9101.724793,0,Sparky,20555,Rhino,12175,PortLand,150,,,,,,,3,62.51520681,32880,17.25005354,16.705567,18.16006822,16.705567,18.16006822,18,40,31,68,7.02079875,25,40.90909091
B-1,4,1064643.2,119,8946.581513,0.016528926,Rhino,19166,Sparky,9382,,,,,,,,,2,67.13605156,28548,18.68118674,17.93869316,19.04464676,19.04464676,17.93869316,,35,25,74,-13.17518248,-12.5,-19.35483871
B-1,5,1048040.3,118,8881.697458,0.008403361,Rhino,14839,Sparky,5509,,,,,,,,,2,72.9260861,20348,20.36323729,17.11505592,21.56912928,21.56912928,17.11505592,,27,24,52,-28.72355331,-22.85714286,-4
B-1,6,1102741.5,118,9345.266949,0,Sparky,12316,Rhino,10149,PortLand,400,,,,,,,3,53.86398426,22865,19.16639608,17.05225767,21.95000076,17.05225767,21.6222328,21.95000076,33,26,49,12.36976607,22.22222222,8.333333333
B-1,7,1077967.9,114,9455.858772,0.033898305,Sparky,15587,Rhino,13535,Bull,11028,PortLand,2120,METRO,195,Hannover,48,6,36.66407922,42513,19.15002158,15.94182479,26,15.94182479,23.96429178,17.17181758,58,42,76,85.9304614,75.75757576,61.53846154
B-1,8,1053509.9,111,9491.08018,0.026315789,Rhino,21780,Bull,19404,Sparky,6240,PortLand,1299,METRO,385,,,5,44.35122587,49108,19.75677207,16.78131974,22.9386089,22.9386089,16.96586288,16.78131974,35,24,55,15.51290194,-39.65517241,-42.85714286
B-1,9,1016247,115,8836.930435,0,Rhino,5382,Sparky,5370,PortLand,672,,,,,,,3,47.11134454,11424,19.39150651,18.35739515,21.66660769,20.13924156,18.35739515,21.66660769,15,11,19,-76.73698786,-57.14285714,-54.16666667
B-2,1,834580.8,99,8430.109091,,Rhino,6515,Sparky,3075,TAMPA,1800,,,,,,,3,57.19929763,11390,16.21662421,10.79020786,18.63119891,18.63119891,10.79020786,16.74733314,9,6,24,,,
B-2,2,1022799.5,115,8893.908696,0,Rhino,4098,TAMPA,2720,K2,1632,Lamby,1254,Sparky,750,,,5,39.2003061,10454,16.88601161,10.52799988,27.14658082,15.4662373,16.39661741,27.14658082,19,13,27,-8.217734855,111.1111111,116.6666667
B-2,3,1004735.6,135,7442.485926,0,K2,7260,Rhino,3042,Sparky,1511,,,,,,,3,61.45771608,11813,22.94172747,15.3385996,26.86819825,26.86819825,15.3385996,19.38285065,11,8,15,12.99980869,-42.10526316,-38.46153846
B-2,4,1055753.5,131,8059.187023,0.02962963,K2,15834,Sparky,2025,Rhino,1620,TAMPA,1440,,,,,4,75.69195468,20919,25.3230001,16.24343837,28.04083723,28.04083723,16.24343837,17.86559277,17,10,24,77.08456785,54.54545455,25
B-2,5,1050436.6,124,8471.262903,0.053435115,K2,10092,Rhino,1476,,,,,,,,,2,87.2406639,11568,26.31029051,15.71333363,27.86014271,27.86014271,15.71333363,,8,6,12,-44.70098953,-52.94117647,-40
B-2,6,1043330.5,125,8346.644,0,K2,8886,Rhino,1224,PortLand,324,,,,,,,3,85.16388729,10434,26.92252472,22.25,27.57672554,27.57672554,23.40999985,22.25,5,5,5,-9.802904564,-37.5,-16.66666667
B-2,7,972141.1,118,8238.483898,0.056,K2,27564,Sparky,3904,Rhino,1402,,,,,,,3,83.85762093,32870,25.84472361,14.74587674,27.82100573,27.82100573,14.74587674,17.8958347,15,9,28,215.0277938,200,80
B-2,8,942805.1,112,8417.902679,0.050847458,K2,45900,Rhino,546,,,,,,,,,2,98.82444129,46446,27.69908273,15.60000038,27.84300646,27.84300646,15.60000038,,12,5,21,41.30209918,-20,-44.44444444
B-2,9,861845.7,107,8054.63271,0.044642857,K2,18048,Rhino,1710,,,,,,,,,2,91.34527786,19758,25.82770114,18.34000015,26.53714089,26.53714089,18.34000015,,9,4,12,-57.46027645,-25,-20
B-3,1,1039395.2,113,9198.187611,,Sparky,10495,PortLand,4656,Reliance-B,569,,,,,,,3,66.76208651,15720,17.28836181,16.860611,22.45190316,16.860611,17.6215211,22.45190316,16,11,28,,,
B-3,2,1064642.8,114,9338.97193,0,Sparky,32998,Lamby,2434,PortLand,900,Joburg,401,,,,,4,89.83203114,36733,16.32159651,10.51319008,25.29999924,16.6292442,10.51319008,16.75,25,11,43,133.6704835,56.25,0
B-3,3,1043005.6,118,8839.030508,0,Sparky,26606,PortLand,312,,,,,,,,,2,98.84092429,26918,17.02345731,17.0137647,17.85000038,17.0137647,17.85000038,,19,11,28,-26.71984319,-24,0
B-3,4,945685.3,115,8223.350435,0.025423729,Sparky,43124,PortLand,390,,,,,,,,,2,99.10373673,43514,17.49390961,17.47392363,19.70384627,17.47392363,19.70384627,,35,25,57,61.65391188,84.21052632,127.2727273
B-3,5,978177.5,114,8580.504386,0.008695652,Sparky,18567,PortLand,936,,,,,,,,,2,95.20073835,19503,15.55649992,15.46834806,17.30512776,15.46834806,17.30512776,,28,24,35,-55.17994209,-20,-4
B-3,6,1007703.7,108,9330.589815,0.052631579,Sparky,25803,PortLand,1726,Reliance-B,659,,,,,,,3,91.53895275,28188,16.87358988,16.35000038,23.19256423,16.74722904,16.35000038,23.19256423,31,22,48,44.53161052,10.71428571,-8.333333333
B-3,7,983104.1,111,8856.793694,0,Sparky,39143,Rhino,7108,Lamby,100,,,,,,,3,84.44909495,46351,18.1247493,17.44011024,21.87563583,17.44011024,21.87563583,19.5,52,39,75,64.43522066,67.74193548,77.27272727
B-3,8,1013315.6,113,8967.39469,0,Sparky,42866,Tilden,9594,Crown,4848,Rhino,1910,PortLand,888,,,5,71.31733937,60106,19.51062478,17.65012342,26.47963863,18.24639862,24.55000019,17.65012342,48,36,72,29.67573515,-7.692307692,-7.692307692
B-3,9,1041660.6,118,8827.632203,0,Sparky,8793,Crown,6420,PortLand,240,,,,,,,3,56.90157251,15453,17.35898905,17.08316318,20.75,17.08316318,17.61000061,20.75,14,11,16,-74.29042026,-70.83333333,-69.44444444
B-4,1,1045119.8,119,8782.519328,,T4,20047,Sparky,7018,PortLand,4521,Reliance-B,208,,,,,4,63.05277725,31794,16.91994778,15.80000019,21.73501587,15.80000019,18.48722324,19.23158593,14,12,28,,,
B-4,2,1078708.3,116,9299.209483,0.025210084,Sparky,10329,PortLand,7736,Crown,7200,Lamby,453,Joburg,140,,,5,39.94508469,25858,18.73077845,10.52799988,24,18.38502766,19.23841795,19.09499073,22,18,44,-18.67018934,57.14285714,50
B-4,3,1032239.6,118,8747.79322,0,Sparky,18451,PortLand,3064,Rhino,1974,Joburg,921,,,,,4,75.58787382,24410,17.85653381,17.13534287,22.42106351,17.13534287,19.61403405,19.73990847,30,23,46,-5.599814371,36.36363636,27.77777778
B-4,4,930334.4,111,8381.390991,0.059322034,Sparky,24649,Rhino,5496,PortLand,2296,Joburg,140,,,,,4,75.65452257,32581,17.41912056,16.28130585,21.79999924,16.28130585,21.56425741,19.44481719,46,39,73,33.47398607,53.33333333,69.56521739
B-4,5,981126,116,8457.982759,0,Sparky,15864,Rhino,804,Bernie,800,PortLand,768,,,,,4,86.99276157,18236,17.46680331,16.95113818,21.65376091,16.95113818,21.10791061,21.65376091,35,34,46,-44.0287284,-23.91304348,-12.82051282
B-4,6,1034608.8,115,8996.598261,0.00862069,Sparky,28653,PortLand,250,,,,,,,,,2,99.13503789,28903,15.23423799,15.22450286,16.35000038,15.22450286,16.35000038,,28,28,36,58.49418732,-20,-17.64705882
B-4,7,1055478.6,115,9178.074783,0,Sparky,28385,Addison,4000,Crown,900,Hannover,300,,,,,4,84.51689742,33585,17.26435926,16.38108635,26.47000046,16.4326062,22.67500019,16.38108635,48,46,64,16.19901048,71.42857143,64.28571429
B-4,8,1056341.5,117,9028.559829,0,Sparky,57098,Crown,5204,Addison,2000,Hannover,360,,,,,4,88.30224862,64662,17.50046335,17.2043578,28.16666667,17.3078476,17.2043578,21.85000038,43,36,67,92.53238053,-10.41666667,-21.73913043
B-4,9,967285.6,116,8338.668966,0.008547009,Sparky,11077,Crown,6312,,,,,,,,,2,63.70119041,17389,16.94000453,16.21116757,18.21904874,16.21116757,18.21904874,,16,16,18,-73.10785314,-62.79069767,-55.55555556
C-1,1,670368.3,74,9059.031081,,Crown,17595,Sparky,2038,Rhino,1710,PortLand,952,T4,21,,,5,78.84477505,22316,16.45344281,15.80000019,20.40870171,15.81855839,17.45653295,20.40870171,19,14,26,,,
C-1,2,668336.8,76,8793.905263,0,Crown,11859,Sparky,4268,Rhino,2544,PortLand,634,,,,,4,61.42968143,19305,15.79917163,13.52221693,20.80733494,15.41265087,13.52221693,20.80733494,24,19,29,-13.49256139,26.31578947,35.71428571
