conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairSale,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
A-2,7,1003139.6,124,8089.835484,0.074626866,Curfu,9614.0,Rhino,7850.0,,,,,,,17464,30.15339162,20.67657844,,452205.8478,25.89360099,20.67657844,30.15339162,2,13,10,16,,,55.05038937,-44.11162314,1.0,4.0,,,,
A-2,8,960475.1,111,8652.928829,0.10483871,Curfu,17660.0,Rhino,3023.0,Bull,357.0,,,,,21040,32.82646681,23.43662267,21.8655467,658370.3143,31.29136475,21.8655467,32.82646681,3,14,11,26,,,83.93536122,20.47640861,1.0,1.0,,,,
A-2,9,1014877.0,121,8387.413223,0.0,Rhino,13380.0,Bull,7413.0,Crown,1004.0,,,,,21797,22.48802245,19.89372755,10.25,458652.9427,21.04202151,10.25,22.48802245,3,15,9,18,,,61.38459421,3.597908745,1.0,-2.0,3.0,2.0,3.0,1.0
A-3,1,1047163.6,120,8726.363333,,Bull,16393.0,Rhino,9798.0,,,,,,,26191,15.85856617,20.6849797,,462640.9063,17.66411769,15.85856617,20.6849797,2,13,11,37,,,62.59020274,,,,3.0,2.0,2.5,2.0
A-3,2,1001407.0,110,9103.7,0.083333333,Bull,19989.0,Rhino,12642.0,,,,,,,32631,15.994124,21.20000076,,587716.9544,18.01100041,15.994124,21.20000076,2,9,8,27,,,61.25769973,24.58859914,-4.0,-3.0,3.0,2.0,2.5,2.0
A-3,3,974002.1,111,8774.793694,0.0,Bull,5112.0,Rhino,1050.0,,,,,,,6162,16.92100973,21.54325764,,109120.6223,17.70863717,16.92100973,21.54325764,2,11,9,14,,,82.9600779,-81.11611658,2.0,1.0,3.0,2.0,2.5,2.0
A-3,4,1008164.8,112,9001.471429,0.0,Bull,40452.0,,,,,,,,,40452,17.18140703,,,695022.2771,17.18140703,17.18140703,17.18140703,1,16,13,31,,,100.0,556.4751704,5.0,4.0,3.0,2.0,2.5,2.0
A-3,5,966849.0,109,8870.174312,0.026785714,Bull,24009.0,,,,,,,,,24009,17.62400129,,,423134.6469,17.62400129,17.62400129,17.62400129,1,6,6,11,,,100.0,-40.64817562,-10.0,-7.0,3.0,2.0,2.5,2.0
A-3,6,964045.8,109,8844.456881,0.0,Bull,12612.0,Rhino,3450.0,,,,,,,16062,17.33325428,22.16561732,,295078.3828,18.37121048,17.33325428,22.16561732,2,20,14,47,,,78.52073216,-33.10008747,14.0,8.0,3.0,2.0,2.5,2.0
A-3,7,932783.3,106,8799.842453,0.027522936,Bull,15768.0,Rhino,10104.0,Premium,501.0,,,,,26373,18.0760275,27.1710052,35.46680069,577327.5052,21.89085448,18.0760275,35.46680069,3,31,20,70,,,59.78841997,64.1949944,11.0,6.0,3.0,2.0,2.5,2.0
A-3,8,923422.5,103,8965.26699,0.028301887,Bull,27324.0,Rhino,6891.0,,,,,,,34215,18.92459386,30.58146302,,727832.4643,21.27232104,18.92459386,30.58146302,2,13,8,31,,,79.85971065,29.73495621,-18.0,-12.0,3.0,2.0,2.5,2.0
A-3,9,1040563.5,126,8258.440476,0.0,Bull,34338.0,Crown,468.0,Rhino,288.0,,,,,35094,18.22540198,17.84000015,30.47500038,642949.7735,18.32078912,17.84000015,30.47500038,3,19,14,50,,,97.8457856,2.569048663,6.0,6.0,3.0,2.0,2.5,2.0
A-4,1,1145621.9,116,9876.050862,,Rhino,25176.0,Bull,10098.0,,,,,,,35274,18.47385367,13.86102235,,605066.3436,17.1533238,13.86102235,18.47385367,2,35,14,67,,,71.37268243,,,,3.0,2.0,3.0,1.0
A-4,2,1173994.0,118,9949.101695,0.0,Rhino,20232.0,Bull,15294.0,,,,,,,35526,21.46091233,14.37593181,,654062.6793,18.41081685,14.37593181,21.46091233,2,31,18,79,,,56.94983955,0.714407212,-4.0,4.0,3.0,2.0,3.0,1.0
A-4,3,1123469.6,120,9362.246667,0.0,Rhino,28080.0,Bull,12684.0,,,,,,,40764,20.32090184,15.09508016,,762076.9203,18.69485135,15.09508016,20.32090184,2,24,13,49,,,68.88430969,14.74413106,-7.0,-5.0,3.0,2.0,3.0,1.0
A-4,4,1123315.2,119,9439.623529,0.008333333,Rhino,29792.0,Bull,3816.0,,,,,,,33608,21.75735021,15.57185577,,707617.1792,21.055022,15.57185577,21.75735021,2,27,17,61,,,88.64556058,-17.55470513,3.0,4.0,3.0,2.0,3.0,1.0
A-4,5,1107889.2,116,9550.768966,0.025210084,Rhino,24743.0,Bull,5028.0,Sparky,726.0,,,,,30497,22.0691743,18.33759002,16.33317184,650116.8651,21.31740385,16.33317184,22.0691743,3,26,13,73,,,81.13257042,-9.256724589,-1.0,-4.0,3.0,2.0,3.0,1.0
A-4,6,1096629.7,119,9215.37563,0.0,Rhino,29029.0,Bull,1200.0,Curfu,114.0,,,,,30343,20.9385268,13.85000038,28.70999908,627717.4349,20.68738869,13.85000038,28.70999908,3,30,13,66,,,95.66951191,-0.504967702,4.0,0.0,3.0,2.0,3.0,1.0
A-4,7,1097027.4,117,9376.302564,0.016806723,Rhino,25800.0,Curfu,1818.0,Bull,72.0,,,,,27690,21.05558963,27.20000076,14.5,593727.8139,21.44195789,14.5,27.20000076,3,32,12,77,,,93.1744312,-8.743367498,2.0,-1.0,3.0,2.0,3.0,1.0
A-4,8,1075420.1,114,9433.509649,0.025641026,Rhino,22670.0,Bull,342.0,,,,,,,23012,20.56276719,21.20000076,,473408.3325,20.57223764,20.56276719,21.20000076,2,20,6,80,,,98.51381888,-16.89418563,-12.0,-6.0,3.0,2.0,3.0,1.0
A-4,9,1098572.3,117,9389.506838,0.0,Crown,10574.0,Bull,9027.0,Rhino,7716.0,,,,,27317,12.63111214,14.39847143,22.54179613,437468.8803,16.01452869,12.63111214,22.54179613,3,29,13,41,,,38.70849654,18.7076308,9.0,7.0,3.0,2.0,3.0,2.0
B-1,1,1147866.6,125,9182.9328,,Sparky,15837.0,Rhino,14792.0,,,,,,,30629,17.89496676,20.78535302,,590859.5305,19.2908528,17.89496676,20.78535302,2,36,26,57,,,51.70589964,,,,3.0,2.0,2.5,2.0
B-1,2,1131376.5,119,9507.365546,0.048,Rhino,20647.0,Sparky,4614.0,PortLand,350.0,,,,,25611,18.05097458,16.57209046,18.0,455462.0976,17.78384669,16.57209046,18.05097458,3,31,19,58,,,80.61770333,-16.38316628,-5.0,-7.0,3.0,2.0,3.0,1.0
B-1,3,1101308.7,121,9101.724793,0.0,Sparky,20871.0,Rhino,14831.0,,,,,,,35702,17.04689922,18.84814714,,635322.7039,17.79515724,17.04689922,18.84814714,2,43,33,78,,,58.45890986,39.40103862,12.0,14.0,3.0,2.0,2.5,2.0
B-1,4,1064643.2,119,8946.581513,0.016528926,Rhino,18285.0,Sparky,6780.0,Bull,1476.0,,,,,26541,20.31360719,15.9200481,19.95000076,508818.4348,19.17103481,15.9200481,20.31360719,3,30,21,64,,,68.8934102,-25.65962691,-13.0,-12.0,3.0,2.0,3.0,1.0
B-1,5,1048040.3,118,8881.697458,0.008403361,Sparky,14725.0,Rhino,7825.0,,,,,,,22550,17.63069706,20.5623579,,420512.4648,18.64800287,17.63069706,20.5623579,2,36,33,63,,,65.29933481,-15.03711239,6.0,12.0,3.0,2.0,2.5,2.0
B-1,6,1102741.5,118,9345.266949,0.0,Rhino,15974.0,Sparky,8784.0,PortLand,2520.0,,,,,27278,22.49225684,14.75913461,21.95000076,544249.5511,19.9519595,14.75913461,22.49225684,3,29,20,44,,,58.56001173,20.96674058,-7.0,-13.0,3.0,2.0,3.0,1.0
