conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch
A-2,2,1049415.4,122,8601.765574,0,Bull,6684,Rhino,3349,Curfu,168,,,,,10201,15.2343807,15.33783496,20.89999962,15.36165178,15.2343807,20.89999962,3,24,8,59,,,65.52298794,-24365,2,2
A-2,3,1168824.7,141,8289.536879,0,Rhino,10977,Bull,1776,,,,,,,12753,20.54814436,15.18986467,,19.8019431,15.18986467,20.54814436,2,21,6,50,,,86.07386497,2552,-3,-2
A-2,4,1100803,128,8600.023438,0.092198582,Rhino,10453,Bull,9720,Curfu,600,,,,,20773,20.87134436,16.13061766,25.29999924,18.78100254,16.13061766,25.29999924,3,28,9,61,,,50.32012709,8020,7,3
A-2,5,1077071.4,132,8159.631818,0,Curfu,12822,Rhino,4656,Bull,3072,,,,,20550,31.77441834,20.74180477,14.70488262,26.72305763,14.70488262,31.77441834,3,14,6,25,,,62.39416058,-223,-14,-3
A-2,6,1078728.5,134,8050.212687,0,Curfu,23653,Bull,5256,Sparky,2339,,,,,31248,33.46856895,17.25,15.87026024,29.42327829,15.87026024,33.46856895,3,20,6,49,,,75.69444444,10698,6,0
A-2,7,1003139.6,124,8089.835484,0.074626866,Curfu,9614,Rhino,7850,,,,,,,17464,30.15339162,20.67657844,,25.89360099,20.67657844,30.15339162,2,22,10,29,,,55.05038937,-13784,2,4
A-2,8,960475.1,111,8652.928829,0.10483871,Curfu,17660,Rhino,3023,Bull,357,,,,,21040,32.82646681,23.43662267,21.8655467,31.29136475,21.8655467,32.82646681,3,32,11,65,,,83.93536122,3576,10,1
A-2,9,1014877,121,8387.413223,0,Rhino,13380,Bull,7413,Crown,1004,,,,,21797,22.48802245,19.89372755,10.25,21.04202151,10.25,22.48802245,3,24,9,52,,,61.38459421,757,-8,-2
A-3,1,1047163.6,120,8726.363333,,Bull,16393,Rhino,9798,,,,,,,26191,15.85856617,20.6849797,,17.66411769,15.85856617,20.6849797,2,15,11,69,,,62.59020274,,,
A-3,2,1001407,110,9103.7,0.083333333,Bull,19989,Rhino,12642,,,,,,,32631,15.994124,21.20000076,,18.01100041,15.994124,21.20000076,2,13,8,39,,,61.25769973,6440,-2,-3
