conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairNum,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
C-2,1,657344.2,73,9004.715068,,Crown,19759.0,,,,,,,,,19759.0,16.181121737411964,,,319722.784409523,16.181121737411964,16.181121737411964,16.181121737411964,1.0,12.0,8.0,16.0,,,100.0,,,,3,2,3,2
C-2,2,631480.2,72,8770.558333,0.013698630136986356,Crown,14221.0,Rhino,1428.0,,,,,,,15649.0,16.385786924086563,20.1299991607666,,261767.9146490097,16.72745316946832,16.385786924086563,20.1299991607666,2.0,20.0,12.0,30.0,,,90.87481628219055,-20.800647806063054,8.0,4.0,3,2,3,2
C-2,3,623031.5,71,8775.091549,0.01388888888888884,Crown,17454.0,Rhino,3050.0,,,,,,,20504.0,16.744909012974695,20.557599786226866,,354966.32126045227,17.31205234395495,16.744909012974695,20.557599786226866,2.0,15.0,6.0,25.0,,,85.12485368708545,31.024346603616838,-5.0,-6.0,3,2,3,2
C-2,4,533033.9,71,7507.519718,0.0,Crown,6239.0,Rhino,2902.0,Bernie,450.0,,,,,9591.0,16.27435972308822,20.3235455670084,18.834260940551758,168990.07697105408,17.619651441044113,16.27435972308822,20.3235455670084,3.0,20.0,10.0,25.0,,,65.05056824105932,-53.22376121732345,5.0,4.0,3,2,3,2
C-2,5,583085.6,71,8212.473239,0.0,Crown,21507.0,Bernie,1300.0,,,,,,,22807.0,16.134505285746485,19.32986244788537,,372133.6263628006,16.31664078409263,16.134505285746485,19.32986244788537,2.0,16.0,11.0,20.0,,,94.29999561538123,137.79585027630068,-4.0,1.0,3,2,3,2
C-2,6,525646.4,63,8343.593651,0.11267605633802813,Crown,12014.0,,,,,,,,,12014.0,17.077430440281322,,,205168.2493095398,17.077430440281322,17.077430440281322,17.077430440281322,1.0,22.0,10.0,27.0,,,100.0,-47.32319024860788,6.0,-1.0,3,2,3,2
C-2,7,534175.8,59,9053.827119,0.06349206349206349,Crown,18967.0,,,,,,,,,18967.0,15.962200821209652,,,302755.0629758835,15.962200821209652,15.962200821209652,15.962200821209652,1.0,17.0,9.0,25.0,,,100.0,57.87414682869985,-5.0,-1.0,3,2,3,2
C-2,8,537181.3,59,9104.767797,0.0,Crown,20398.0,,,,,,,,,20398.0,17.001244315517592,,,346791.38154792786,17.001244315517592,17.001244315517592,17.001244315517592,1.0,17.0,8.0,20.0,,,100.0,7.54468287024832,0.0,-1.0,3,2,3,2
C-2,9,578916.4,62,9337.36129,0.0,Crown,16817.0,,,,,,,,,16817.0,17.78548459784982,,,299098.4944820404,17.78548459784982,17.78548459784982,17.78548459784982,1.0,17.0,6.0,28.0,,,100.0,-17.55564271006962,0.0,-2.0,3,2,3,2
C-3,1,653500.6,74,8831.089189,,Crown,18134.0,Rhino,214.0,,,,,,,18348.0,16.542852324004787,15.079999923706055,,303215.2040271759,16.525790496357963,15.079999923706055,16.542852324004787,2.0,18.0,12.0,26.0,,,98.83366034445172,,,,3,2,3,2
C-3,2,647810.4,74,8754.194595,0.0,Crown,19341.0,,,,,,,,,19341.0,17.47682116087242,,,338019.1980724335,17.47682116087242,17.47682116087242,17.47682116087242,1.0,13.0,8.0,18.0,,,100.0,5.412034009156308,-5.0,-4.0,3,2,3,2
C-3,3,630407.0,70,9005.814286,0.05405405405405406,Crown,20905.0,,,,,,,,,20905.0,17.345736439414527,,,362612.6202659607,17.345736439414527,17.345736439414527,17.345736439414527,1.0,16.0,8.0,18.0,,,100.0,8.086448477327956,3.0,0.0,3,2,3,2
C-3,4,610928.1,70,8727.544286,0.0,Crown,14752.0,,,,,,,,,14752.0,16.161348446654134,,,238412.2122850418,16.161348446654134,16.161348446654134,16.161348446654134,1.0,10.0,7.0,14.0,,,100.0,-29.433149964123416,-6.0,-1.0,3,2,3,2
C-3,5,656209.7,75,8749.462667,0.0,Crown,16182.0,,,,,,,,,16182.0,15.884647640364527,,,257045.36811637878,15.884647640364527,15.884647640364527,15.884647640364527,1.0,17.0,13.0,20.0,,,100.0,9.693600867678963,7.0,6.0,3,2,3,2
C-3,6,531577.1,64,8305.892188,0.1466666666666666,Crown,18430.0,,,,,,,,,18430.0,16.236366711966834,,,299236.23850154877,16.236366711966834,16.236366711966834,16.236366711966834,1.0,23.0,14.0,26.0,,,100.0,13.891978741811894,6.0,1.0,3,2,3,2
C-3,7,542775.7,61,8897.962295,0.046875,Crown,23229.0,,,,,,,,,23229.0,17.090825556456554,,,397002.78685092926,17.090825556456554,17.090825556456554,17.090825556456554,1.0,26.0,11.0,41.0,,,100.0,26.039066739012483,3.0,-3.0,3,2,3,2
C-3,8,541627.3,60,9027.121667,0.016393442622950838,Crown,13237.0,,,,,,,,,13237.0,16.814343757136598,,,222571.46831321716,16.814343757136598,16.814343757136598,16.814343757136598,1.0,16.0,11.0,20.0,,,100.0,-43.015196521589395,-10.0,0.0,3,2,3,2
C-3,9,516052.9,57,9053.559649,0.050000000000000044,Crown,19042.0,Hannover,72.0,,,,,,,19114.0,17.15792023019998,27.25,,328683.117023468,17.19593580744313,17.15792023019998,27.25,2.0,14.0,11.0,18.0,,,99.62331275504866,44.398277555337316,-2.0,0.0,3,2,3,2
C-4,1,645171.4,76,8489.097368,,Crown,10138.0,,,,,,,,,10138.0,16.623413098072437,,,168528.16198825836,16.623413098072437,16.623413098072437,16.623413098072437,1.0,7.0,6.0,8.0,,,100.0,,,,3,2,3,2
C-4,2,647069.2,73,8863.961644,0.03947368421052633,Crown,18755.0,,,,,,,,,18755.0,16.300042796204867,,,305707.30264282227,16.300042796204867,16.300042796204867,16.300042796204867,1.0,14.0,8.0,20.0,,,100.0,84.99704083645689,7.0,2.0,3,2,3,2
C-4,3,607777.7,72,8441.356944,0.013698630136986356,Crown,19569.0,,,,,,,,,19569.0,16.34942360120227,,,319941.8704519272,16.34942360120227,16.34942360120227,16.34942360120227,1.0,13.0,5.0,16.0,,,100.0,4.340175953079184,-1.0,-3.0,3,2,3,2
C-4,4,574622.1,71,8093.269014,0.01388888888888884,Crown,13694.0,,,,,,,,,13694.0,16.28989185346066,,,223073.77904129028,16.28989185346066,16.28989185346066,16.28989185346066,1.0,6.0,4.0,9.0,,,100.0,-30.02197352956206,-7.0,-1.0,3,2,3,2
C-4,5,563871.7,68,8292.230882,0.04225352112676062,Crown,15895.0,PortLand,1120.0,,,,,,,17015.0,16.49028867587761,20.25,,284793.13850307465,16.737768939352023,16.49028867587761,20.25,2.0,10.0,7.0,15.0,,,93.41757272994417,24.251497005988032,4.0,3.0,3,2,3,2
C-4,6,574982.0,66,8711.848485,0.02941176470588236,Crown,19953.0,PortLand,2690.0,,,,,,,22643.0,16.643458253977766,21.950000762939453,,391132.4245939255,17.273878222582056,16.643458253977766,21.950000762939453,2.0,18.0,10.0,32.0,,,88.1199487700393,33.07669703203055,8.0,3.0,3,2,3,2
C-4,7,580577.0,65,8931.953846,0.015151515151515138,Crown,24331.0,,,,,,,,,24331.0,17.636771695367223,,,429120.29211997986,17.636771695367223,17.636771695367223,17.636771695367223,1.0,19.0,13.0,29.0,,,100.0,7.454842556198393,1.0,3.0,3,2,3,2
C-4,8,544312.9,62,8779.240323,0.0461538461538461,Crown,16584.0,,,,,,,,,16584.0,16.020009569194773,,,265675.8386955261,16.020009569194773,16.020009569194773,16.020009569194773,1.0,12.0,6.0,25.0,,,100.0,-31.84003945583823,-7.0,-7.0,3,2,3,2
C-4,9,565589.9,60,9426.498333,0.032258064516129004,Crown,28658.0,,,,,,,,,28658.0,16.168395622118176,,,463353.8817386627,16.168395622118176,16.168395622118176,16.168395622118176,1.0,14.0,8.0,26.0,,,100.0,72.80511336227688,2.0,2.0,3,2,3,2
C-5,1,719533.3,91,7906.959341,,Crown,13233.0,,,,,,,,,13233.0,15.230436001056033,,,201544.3596019745,15.230436001056033,15.230436001056033,15.230436001056033,1.0,9.0,4.0,15.0,,,100.0,,,,3,2,3,2
C-5,2,687405.7,87,7901.214943,0.04395604395604391,Crown,16988.0,Rhino,756.0,,,,,,,17744.0,15.674179097133607,22.149999618530273,,283018.3542137146,15.950087590944241,15.674179097133607,22.149999618530273,2.0,11.0,6.0,14.0,,,95.73940486925157,34.08901987455604,2.0,2.0,3,2,3,2
C-5,3,607569.0,74,8210.391892,0.14942528735632188,Crown,20468.0,,,,,,,,,20468.0,14.87412900623689,,,304443.6724996567,14.87412900623689,14.87412900623689,14.87412900623689,1.0,15.0,7.0,22.0,,,100.0,15.351668169522092,4.0,1.0,3,2,3,2
C-5,4,581120.2,75,7748.269333,0.0,Crown,2306.0,,,,,,,,,2306.0,15.197158844080162,,,35044.64829444885,15.197158844080162,15.197158844080162,15.197158844080162,1.0,4.0,4.0,5.0,,,100.0,-88.73363298807895,-11.0,-3.0,3,2,3,2
C-5,5,563270.6,73,7716.035616,0.026666666666666616,Crown,18758.0,,,,,,,,,18758.0,16.268529447211247,,,305165.0753707886,16.268529447211247,16.268529447211247,16.268529447211247,1.0,10.0,6.0,12.0,,,100.0,713.4431916738941,6.0,2.0,3,2,3,2
C-5,6,449872.9,61,7374.965574,0.1643835616438356,Crown,19930.0,,,,,,,,,19930.0,16.780041965861688,,,334426.2363796234,16.780041965861688,16.780041965861688,16.780041965861688,1.0,7.0,4.0,10.0,,,100.0,6.248000852969393,-3.0,-2.0,3,2,3,2
C-5,7,441398.6,54,8174.048148,0.11475409836065575,Crown,15440.0,,,,,,,,,15440.0,16.622894311260065,,,256657.4881658554,16.622894311260065,16.622894311260065,16.622894311260065,1.0,10.0,7.0,13.0,,,100.0,-22.528850978424487,3.0,3.0,3,2,3,2
C-5,8,442730.9,55,8049.652727,0.0,Crown,18612.0,,,,,,,,,18612.0,16.17095657202497,,,300973.84371852875,16.17095657202497,16.17095657202497,16.17095657202497,1.0,15.0,7.0,21.0,,,100.0,20.544041450777193,5.0,0.0,3,2,3,2
C-5,9,502127.2,57,8809.249123,0.0,Crown,18366.0,,,,,,,,,18366.0,17.222857058522074,,,316314.9927368164,17.222857058522074,17.222857058522074,17.222857058522074,1.0,14.0,8.0,23.0,,,100.0,-1.3217279174726038,-1.0,1.0,3,2,3,2
C-6,1,703316.7,101,6963.531683,,Crown,10992.0,,,,,,,,,10992.0,15.898789597130238,,,174759.49525165558,15.898789597130238,15.898789597130238,15.898789597130238,1.0,9.0,7.0,11.0,,,100.0,,,,3,2,3,2
C-6,2,945164.9,130,7270.499231,0.0,Crown,20247.0,,,,,,,,,20247.0,15.55245350903509,,,314890.5261974335,15.55245350903509,15.55245350903509,15.55245350903509,1.0,6.0,5.0,9.0,,,100.0,84.1975982532751,-3.0,-2.0,3,2,3,2
C-6,3,1066021.4,149,7154.50604,0.0,Crown,16287.0,,,,,,,,,16287.0,15.251438023584825,,,248400.17109012604,15.251438023584825,15.251438023584825,15.251438023584825,1.0,5.0,3.0,7.0,,,100.0,-19.558453104163576,-1.0,-2.0,3,2,3,2
C-6,4,1023687.7,134,7639.460448,0.10067114093959728,Crown,8725.0,,,,,,,,,8725.0,15.34000015258789,,,133841.50133132935,15.34000015258789,15.34000015258789,15.34000015258789,1.0,1.0,1.0,4.0,,,100.0,-46.42966783324124,-4.0,-2.0,3,2,3,2
C-6,5,958886.2,132,7264.289394,0.014925373134328401,,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,-100.0,-1.0,-1.0,,,,
C-6,6,459386.4,72,6380.366667,0.4545454545454546,Crown,11449.0,,,,,,,,,11449.0,16.107337790562582,,,184412.910364151,16.107337790562582,16.107337790562582,16.107337790562582,1.0,4.0,4.0,8.0,,,100.0,inf,4.0,4.0,3,2,3,2
C-6,7,362960.6,58,6257.941379,0.19444444444444442,,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,-100.0,-4.0,-4.0,,,,
C-6,8,352655.0,46,7666.413043,0.2068965517241379,,,,,,,,,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,
C-6,9,298253.1,38,7848.765789,0.17391304347826086,Crown,685.0,,,,,,,,,685.0,19.170000076293945,,,13131.450052261353,19.170000076293945,19.170000076293945,19.170000076293945,1.0,1.0,1.0,1.0,,,100.0,inf,1.0,1.0,3,2,3,2
C-7,6,358132.7,48,7461.097917,,Crown,11017.0,Rhino,72.0,,,,,,,11089.0,16.025704105460644,20.920000076293945,,178061.4221353531,16.057482382122203,16.025704105460644,20.920000076293945,2.0,10.0,7.0,10.0,,,99.35070790873839,,,,3,2,3,2
C-7,7,384174.2,49,7840.289796,0.0,Crown,4990.0,Rhino,618.0,,,,,,,5608.0,20.729999542236328,21.770000457763672,,116896.55799865723,20.844607346408207,20.729999542236328,21.770000457763672,2.0,5.0,3.0,9.0,,,88.98002853067048,-49.427360447290106,-5.0,-4.0,3,2,3,2
C-7,8,400679.3,52,7705.371154,0.0,Crown,2532.0,Sparky,1512.0,,,,,,,4044.0,20.729999542236328,17.407154083251953,,78807.97581481934,19.48763002344692,17.407154083251953,20.729999542236328,2.0,8.0,3.0,11.0,,,62.61127596439169,-27.888730385164052,3.0,0.0,3,2,3,2
C-7,9,438004.2,53,8264.230189,0.0,Crown,10540.0,,,,,,,,,10540.0,16.77915398472853,,,176852.2829990387,16.77915398472853,16.77915398472853,16.77915398472853,1.0,7.0,4.0,12.0,,,100.0,160.63303659742826,-1.0,1.0,3,2,3,2
