conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairNum,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
A-3,1,1047163.6,120,8726.363333,,Bull,16393.0,Rhino,9798.0,,,,,,,26191.0,15.858566165733954,20.684979704502382,,462640.90629959106,17.664117685448858,15.858566165733954,20.684979704502382,2.0,13.0,11.0,37.0,,,62.590202741399715,,,,3,2,2.5,2
A-3,2,1001407.0,110,9103.7,0.08333333333333337,Bull,19989.0,Rhino,12642.0,,,,,,,32631.0,15.994124004473365,21.200000762939453,,587716.9543704987,18.01100040974836,15.994124004473365,21.200000762939453,2.0,9.0,8.0,27.0,,,61.25769973338237,24.588599137108158,-4.0,-3.0,3,2,2.5,2
A-3,3,974002.1,111,8774.793694,0.0,Bull,5112.0,Rhino,1050.0,,,,,,,6162.0,16.92100973084499,21.543257642473492,,109120.62226867676,17.708637174403886,16.92100973084499,21.543257642473492,2.0,11.0,9.0,14.0,,,82.96007789678676,-81.11611657626183,2.0,1.0,3,2,2.5,2
A-3,4,1008164.8,112,9001.471429,0.0,Bull,40452.0,,,,,,,,,40452.0,17.18140702854452,,,695022.2771186829,17.18140702854452,17.18140702854452,17.18140702854452,1.0,16.0,13.0,31.0,,,100.0,556.475170399221,5.0,4.0,3,2,2.5,2
A-3,5,966849.0,109,8870.174312,0.0267857142857143,Bull,24009.0,,,,,,,,,24009.0,17.624001287660285,,,423134.6469154358,17.624001287660285,17.624001287660285,17.624001287660285,1.0,6.0,6.0,11.0,,,100.0,-40.648175615544346,-10.0,-7.0,3,2,2.5,2
A-3,6,964045.8,109,8844.456881,0.0,Bull,12612.0,Rhino,3450.0,,,,,,,16062.0,17.33325428422806,22.16561731753142,,295078.3827781677,18.371210483013805,17.33325428422806,22.16561731753142,2.0,20.0,14.0,47.0,,,78.52073216286888,-33.1000874671998,14.0,8.0,3,2,2.5,2
A-3,7,932783.3,106,8799.842453,0.02752293577981646,Bull,15768.0,Rhino,10104.0,Premium,501.0,,,,,26373.0,18.07602749640176,27.17100519616738,35.466800689697266,577327.5052108765,21.890854480372976,18.07602749640176,35.466800689697266,3.0,31.0,20.0,70.0,,,59.7884199749744,64.19499439671274,11.0,6.0,3,2,2.5,2
A-3,8,923422.5,103,8965.26699,0.028301886792452824,Bull,27324.0,Rhino,6891.0,,,,,,,34215.0,18.924593859719874,30.581463022305403,,727832.4643096924,21.272321037839905,18.924593859719874,30.581463022305403,2.0,13.0,8.0,31.0,,,79.85971065322227,29.734956205209873,-18.0,-12.0,3,2,2.5,2
A-3,9,1040563.5,126,8258.440476,0.0,Bull,34338.0,Crown,468.0,Rhino,288.0,,,,,35094.0,18.225401982506234,17.84000015258789,30.475000381469727,642949.7734565735,18.32078912225946,17.84000015258789,30.475000381469727,3.0,19.0,14.0,50.0,,,97.84578560437681,2.569048662867157,6.0,6.0,3,2,2.5,2
A-4,1,1145621.9,116,9876.050862,,Rhino,25176.0,Bull,10098.0,,,,,,,35274.0,18.473853666289177,13.861022348001608,,605066.3435726166,17.153323795787735,13.861022348001608,18.473853666289177,2.0,35.0,14.0,67.0,,,71.37268242898452,,,,3,2,3,1
A-4,2,1173994.0,118,9949.101695,0.0,Rhino,20232.0,Bull,15294.0,,,,,,,35526.0,21.460912325863973,14.375931813512048,,654062.6793327332,18.410816847737802,14.375931813512048,21.460912325863973,2.0,31.0,18.0,79.0,,,56.94983955412937,0.7144072121109124,-4.0,4.0,3,2,3,1
A-4,3,1123469.6,120,9362.246667,0.0,Rhino,28080.0,Bull,12684.0,,,,,,,40764.0,20.320901838123287,15.095080155523295,,762076.9203071594,18.6948513469522,15.095080155523295,20.320901838123287,2.0,24.0,13.0,49.0,,,68.88430968501619,14.744131058942745,-7.0,-5.0,3,2,3,1
A-4,4,1123315.2,119,9439.623529,0.008333333333333304,Rhino,29792.0,Bull,3816.0,,,,,,,33608.0,21.757350214441917,15.571855772966108,,707617.1792182922,21.055021995307435,15.571855772966108,21.757350214441917,2.0,27.0,17.0,61.0,,,88.64556058081409,-17.554705131979198,3.0,4.0,3,2,3,1
A-4,5,1107889.2,116,9550.768966,0.025210084033613467,Rhino,24743.0,Bull,5028.0,Sparky,726.0,,,,,30497.0,22.06917429935844,18.337590024124182,16.333171844482422,650116.8650894165,21.31740384593293,16.333171844482422,22.06917429935844,3.0,26.0,13.0,73.0,,,81.1325704167623,-9.25672458938348,-1.0,-4.0,3,2,3,1
A-4,6,1096629.7,119,9215.37563,0.0,Rhino,29029.0,Bull,1200.0,Curfu,114.0,,,,,30343.0,20.938526801940778,13.850000381469727,28.709999084472656,627717.4348869324,20.68738868559247,13.850000381469727,28.709999084472656,3.0,30.0,13.0,66.0,,,95.66951191378573,-0.5049677017411547,4.0,0.0,3,2,3,1
A-4,7,1097027.4,117,9376.302564,0.01680672268907568,Rhino,25800.0,Curfu,1818.0,Bull,72.0,,,,,27690.0,21.0555896326553,27.200000762939453,14.5,593727.8139095306,21.441957887668135,14.5,27.200000762939453,3.0,32.0,12.0,77.0,,,93.17443120260022,-8.743367498269784,2.0,-1.0,3,2,3,1
A-4,8,1075420.1,114,9433.509649,0.02564102564102566,Rhino,22670.0,Bull,342.0,,,,,,,23012.0,20.5627671922836,21.200000762939453,,473408.3325099945,20.57223763731942,20.5627671922836,21.200000762939453,2.0,20.0,6.0,80.0,,,98.5138188771076,-16.894185626579993,-12.0,-6.0,3,2,3,1
A-4,9,1098572.3,117,9389.506838,0.0,Crown,10574.0,Bull,9027.0,Rhino,7716.0,,,,,27317.0,12.631112135852332,14.398471430394688,22.541796128078715,437468.8802509308,16.01452869095914,12.631112135852332,22.541796128078715,3.0,29.0,13.0,41.0,,,38.708496540615734,18.707630801321052,9.0,7.0,3,2,3,2
B-1,1,1147866.6,125,9182.9328,,Sparky,15837.0,Rhino,14792.0,,,,,,,30629.0,17.89496676187334,20.78535302256558,,590859.5305175781,19.29085280347312,17.89496676187334,20.78535302256558,2.0,36.0,26.0,57.0,,,51.70589963759835,,,,3,2,2.5,2
B-1,2,1131376.5,119,9507.365546,0.04800000000000004,Rhino,20647.0,Sparky,4614.0,PortLand,350.0,,,,,25611.0,18.05097458255997,16.572090455449192,18.0,455462.0975675583,17.783846689608303,16.572090455449192,18.05097458255997,3.0,31.0,19.0,58.0,,,80.61770333060014,-16.38316628032257,-5.0,-7.0,3,2,3,1
B-1,3,1101308.7,121,9101.724793,0.0,Sparky,20871.0,Rhino,14831.0,,,,,,,35702.0,17.04689922317228,18.84814713795551,,635322.7038898468,17.795157243007306,17.04689922317228,18.84814713795551,2.0,43.0,33.0,78.0,,,58.45890986499356,39.401038616219594,12.0,14.0,3,2,2.5,2
B-1,4,1064643.2,119,8946.581513,0.016528925619834656,Rhino,18285.0,Sparky,6780.0,Bull,1476.0,,,,,26541.0,20.31360719486244,15.920048102798011,19.950000762939453,508818.43482112885,19.171034807321835,15.920048102798011,20.31360719486244,3.0,30.0,21.0,64.0,,,68.89341019554651,-25.659626911657607,-13.0,-12.0,3,2,3,1
B-1,5,1048040.3,118,8881.697458,0.008403361344537785,Sparky,14725.0,Rhino,7825.0,,,,,,,22550.0,17.630697061444785,20.562357897529967,,420512.4647779465,18.64800287263621,17.630697061444785,20.562357897529967,2.0,36.0,33.0,63.0,,,65.29933481152993,-15.037112392148,6.0,12.0,3,2,2.5,2
B-1,6,1102741.5,118,9345.266949,0.0,Rhino,15974.0,Sparky,8784.0,PortLand,2520.0,,,,,27278.0,22.492256839776555,14.759134611905381,21.950000762939453,544249.551112175,19.95195949527733,14.759134611905381,22.492256839776555,3.0,29.0,20.0,44.0,,,58.56001173106533,20.96674057649668,-7.0,-13.0,3,2,3,1
B-1,7,1077967.9,114,9455.858772,0.03389830508474578,Bull,10536.0,Rhino,10224.0,Sparky,4140.0,,,,,24900.0,16.72921445320842,24.309336713222272,18.335967556865896,500708.5677204132,20.108777820096915,16.72921445320842,24.309336713222272,3.0,26.0,18.0,36.0,,,42.31325301204819,-8.717647921401861,-3.0,-2.0,3,2,2.5,2
B-1,8,1053509.9,111,9491.08018,0.02631578947368418,Rhino,15294.0,Bull,15084.0,PortLand,1971.0,Sparky,1210.0,,,33559.0,23.140172741998327,16.927844262255878,21.85337968358892,671058.8631305695,19.996390331373682,15.48797273241784,23.140172741998327,4.0,25.0,15.0,35.0,,,45.573467624184275,34.77510040160643,-1.0,-3.0,3,2,3,1
B-1,9,1016247.0,115,8836.930435,0.0,Sparky,7336.0,Bull,3312.0,Rhino,2640.0,METRO,580.0,Hannover,48.0,13916.0,19.45577847294615,17.24855072601982,20.057500080628827,266363.3123226166,19.140795654111567,17.24855072601982,26.0,5.0,21.0,17.0,23.0,,,52.716297786720325,-58.53273339491641,-4.0,2.0,3,2,2.5,2
B-2,1,834580.8,99,8430.109091,,Rhino,6453.0,Sparky,3511.0,K2,2340.0,TAMPA,1428.0,,,13732.0,17.341339030636018,17.11492056644258,26.34000015258789,256450.2667503357,18.675376256214367,15.980755966250635,26.34000015258789,4.0,13.0,11.0,25.0,,,46.99242644916982,,,,3,2,3,1
B-2,2,1022799.5,115,8893.908696,0.0,K2,7140.0,Rhino,3444.0,TAMPA,2040.0,,,,,12624.0,27.389268871916443,14.932160384148256,16.83823506972369,281335.7396507263,22.285784192864885,14.932160384148256,27.389268871916443,3.0,12.0,9.0,20.0,,,56.55893536121673,-8.068744538304696,-1.0,-2.0,,,,
B-2,3,1004735.6,135,7442.485926,0.0,K2,11124.0,Sparky,2016.0,Rhino,906.0,,,,,14046.0,27.15858679836236,15.32699966430664,18.170000076293945,349473.3709373474,24.880632987138505,15.32699966430664,27.15858679836236,3.0,10.0,6.0,15.0,,,79.19692439128578,11.26425855513309,-2.0,-3.0,,,,
B-2,4,1055753.5,131,8059.187023,0.029629629629629672,K2,17040.0,,,,,,,,,17040.0,28.1628378021885,,,479894.756149292,28.1628378021885,28.1628378021885,28.1628378021885,1.0,6.0,3.0,11.0,,,100.0,21.315677061085015,-4.0,-3.0,,,,
B-2,5,1050436.6,124,8471.262903,0.05343511450381677,K2,12600.0,Rhino,1378.0,,,,,,,13978.0,27.42616214752197,15.909144084581616,,367492.4436073303,26.290774331616134,15.909144084581616,27.42616214752197,2.0,7.0,5.0,11.0,,,90.14165116611818,-17.969483568075116,1.0,2.0,,,,
B-2,6,1043330.5,125,8346.644,0.0,K2,14472.0,Rhino,2328.0,Sparky,1888.0,,,,,18688.0,27.589933961580446,21.00567009522743,14.12535565182314,474851.39574432373,25.40942828255157,14.12535565182314,27.589933961580446,3.0,11.0,7.0,12.0,,,77.44006849315068,33.69580769781084,4.0,2.0,,,,
B-2,7,972141.1,118,8238.483898,0.05600000000000005,K2,31320.0,,,,,,,,,31320.0,28.229327451771702,,,884142.5357894897,28.229327451771702,28.229327451771702,28.229327451771702,1.0,9.0,3.0,21.0,,,100.0,67.59417808219179,-2.0,-4.0,,,,
B-2,8,942805.1,112,8417.902679,0.05084745762711862,K2,18030.0,,,,,,,,,18030.0,28.163048016489444,,,507779.7557373047,28.163048016489444,28.163048016489444,28.163048016489444,1.0,5.0,3.0,5.0,,,100.0,-42.43295019157088,-4.0,0.0,,,,
