,QuestID,Country,year,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1BW,buyer2BW,buyer3BW,buyer1FTindex,buyer2FTindex,buyer3FTindex
5060,33425,Indonesia,2019,2195,nike,haddad,converse,1.0,0.0,0.0,36,-1,36
5061,29146,Vietnam,2018,2196,gap,victoria secret,walmart,,,,54,-1,25
5062,36334,Vietnam,2019,2196,gap,victoria secret,walmart,,,,54,-1,25
5063,39897,Vietnam,2020,2196,gap,victoria secret,walmart,,,,54,-1,25
5064,19281,Bangladesh,2017,2197,cotton on group,whispering smith ltd. uk,,0.0,0.0,,-1,-1,-2
5065,19547,Indonesia,2017,2198,tom tailor,s oliver,sportscraft,0.0,0.0,0.0,-1,-1,-1
5066,26775,Indonesia,2018,2198,tom tailor,s oliver,sportscraft,0.0,0.0,0.0,-1,-1,-1
5067,33720,Indonesia,2019,2198,tom tailor,s oliver,sportscraft,0.0,0.0,0.0,-1,-1,-1
5068,18979,Cambodia,2017,2200,adidas,decathlon,puma,0.0,0.0,1.0,58,17,56
5069,24769,Cambodia,2018,2200,adidas,decathlon,puma,0.0,0.0,1.0,58,17,56
5070,32062,Cambodia,2019,2200,adidas,decathlon,puma,0.0,0.0,1.0,58,17,56
5071,38363,Cambodia,2020,2200,adidas,decathlon,puma,0.0,0.0,1.0,58,17,56
5072,41546,Cambodia,2021,2200,adidas,decathlon,puma,0.0,0.0,1.0,58,17,56
5073,19528,Bangladesh,2017,2202,esprit,best seller,,0.0,0.0,,54,-1,-2
5074,28274,Bangladesh,2018,2202,esprit,best seller,,0.0,0.0,,54,-1,-2
5075,18755,Vietnam,2017,2203,mango,ssa,,,,,18,-1,-2
5076,25827,Vietnam,2018,2203,mango,ssa,,,,,18,-1,-2
5077,20833,Cambodia,2017,2204,disney,jusco,uniqlo,0.0,0.0,0.0,-1,-1,29
5078,28946,Cambodia,2018,2204,disney,jusco,uniqlo,0.0,0.0,0.0,-1,-1,29
5079,37475,Cambodia,2019,2204,disney,jusco,uniqlo,0.0,0.0,0.0,-1,-1,29
5080,19755,Vietnam,2017,2205,nike,puma,adidas,,,,36,56,58
5081,26083,Vietnam,2018,2205,nike,puma,adidas,,,,36,56,58
5082,33369,Vietnam,2019,2205,nike,puma,adidas,,,,36,56,58
5083,39366,Vietnam,2020,2205,nike,puma,adidas,,,,36,56,58
5084,41902,Vietnam,2021,2205,nike,puma,adidas,,,,36,56,58
5085,19103,Vietnam,2017,2206,intec,retro vietnam,prominent,,,,-1,-1,-1
5086,18955,Vietnam,2017,2207,kohl's,jc penney,dillard's,,,,8,16,11
5087,19184,Vietnam,2017,2208,columbia,marks & spencer,puma,,,,22,51,56
5088,25624,Vietnam,2018,2208,columbia,marks & spencer,puma,,,,22,51,56
5089,32852,Vietnam,2019,2208,columbia,marks & spencer,puma,,,,22,51,56
5090,39080,Vietnam,2020,2208,columbia,marks & spencer,puma,,,,22,51,56
5091,41933,Vietnam,2021,2208,columbia,marks & spencer,puma,,,,22,51,56
5092,19710,Vietnam,2017,2210,sun myong apparel inc.,jnk,ha minh tri,,,,-1,-1,-1
5093,27779,Vietnam,2018,2210,sun myong apparel inc.,jnk,ha minh tri,,,,-1,-1,-1
5094,34378,Vietnam,2019,2210,sun myong apparel inc.,jnk,ha minh tri,,,,-1,-1,-1
5095,18936,Vietnam,2017,2211,carmel,kobun,,,,,-1,-1,-2
5096,26221,Vietnam,2018,2212,uniqlo,chico's,jc penney,,,,29,11,16
5097,36252,Vietnam,2019,2212,uniqlo,chico's,jc penney,,,,29,11,16
5098,40320,Vietnam,2020,2212,uniqlo,chico's,jc penney,,,,29,11,16
5099,20708,Cambodia,2017,2213,c&a,carrefour,,0.0,0.0,,53,-1,-2
5100,28539,Cambodia,2018,2213,c&a,carrefour,,0.0,0.0,,53,-1,-2
5101,34408,Cambodia,2019,2213,c&a,carrefour,,0.0,0.0,,53,-1,-2
5102,43296,Cambodia,2021,2213,c&a,carrefour,,0.0,0.0,,53,-1,-2
5103,19346,Indonesia,2017,2215,moririn,various local brand,hybrid,0.0,0.0,0.0,-1,-1,-1
5104,26764,Indonesia,2018,2215,moririn,various local brand,hybrid,0.0,0.0,0.0,-1,-1,-1
5105,33614,Indonesia,2019,2215,moririn,various local brand,hybrid,0.0,0.0,0.0,-1,-1,-1
5106,22217,Indonesia,2017,2216,gap,bebe,karl lagerfeld,1.0,0.0,0.0,54,-1,-1
5107,30018,Indonesia,2018,2216,gap,bebe,karl lagerfeld,1.0,0.0,0.0,54,-1,-1
5108,36928,Indonesia,2019,2216,gap,bebe,karl lagerfeld,1.0,0.0,0.0,54,-1,-1
5109,19535,Cambodia,2017,2217,ito-yokado,,,0.0,,,-1,-2,-2
5110,26296,Cambodia,2018,2217,ito-yokado,,,0.0,,,-1,-2,-2
5111,33652,Cambodia,2019,2217,ito-yokado,,,0.0,,,-1,-2,-2
5112,42297,Cambodia,2021,2217,ito-yokado,,,0.0,,,-1,-2,-2
5113,22021,Bangladesh,2017,2218,pvh,gap,uniqlo,1.0,1.0,0.0,-1,54,29
5114,30331,Bangladesh,2018,2218,pvh,gap,uniqlo,1.0,1.0,0.0,-1,54,29
5115,20677,Cambodia,2017,2219,kmart,,,1.0,,,-1,-2,-2
5116,24464,Cambodia,2018,2219,kmart,,,1.0,,,-1,-2,-2
5117,31949,Cambodia,2019,2219,kmart,,,1.0,,,-1,-2,-2
5118,38491,Cambodia,2020,2219,kmart,,,1.0,,,-1,-2,-2
5119,41473,Cambodia,2021,2219,kmart,,,1.0,,,-1,-2,-2
5120,19642,Vietnam,2017,2220,hanesbrands,pvh,l brands,,,,-1,-1,-1
5121,26352,Vietnam,2018,2220,hanesbrands,pvh,l brands,,,,-1,-1,-1
5122,33612,Vietnam,2019,2220,hanesbrands,pvh,l brands,,,,-1,-1,-1
5123,39236,Vietnam,2020,2220,hanesbrands,pvh,l brands,,,,-1,-1,-1
5124,42199,Vietnam,2021,2220,hanesbrands,pvh,l brands,,,,-1,-1,-1
5125,20391,Bangladesh,2017,2221,gap,asmara,h&m,1.0,0.0,1.0,54,-1,55
5126,27038,Bangladesh,2018,2221,gap,asmara,h&m,1.0,0.0,1.0,54,-1,55
5127,35489,Bangladesh,2019,2221,gap,asmara,h&m,1.0,0.0,1.0,54,-1,55
5128,20319,Bangladesh,2017,2222,gap,vf asia,american eagle,1.0,0.0,1.0,54,-1,15
5129,27060,Bangladesh,2018,2222,gap,vf asia,american eagle,1.0,0.0,1.0,54,-1,15
5130,34873,Bangladesh,2019,2222,gap,vf asia,american eagle,1.0,0.0,1.0,54,-1,15
5131,20268,Bangladesh,2017,2223,h&m,gap,american eagle,1.0,1.0,1.0,55,54,15
5132,28957,Bangladesh,2018,2223,h&m,gap,american eagle,1.0,1.0,1.0,55,54,15
5133,36744,Bangladesh,2019,2223,h&m,gap,american eagle,1.0,1.0,1.0,55,54,15
5134,20243,Bangladesh,2017,2224,vf asia,gap,american eagle,0.0,1.0,1.0,-1,54,15
5135,27470,Bangladesh,2018,2224,vf asia,gap,american eagle,0.0,1.0,1.0,-1,54,15
5136,35581,Bangladesh,2019,2224,vf asia,gap,american eagle,0.0,1.0,1.0,-1,54,15
5137,19266,Cambodia,2017,2225,,,,,,,-2,-2,-2
5138,25868,Cambodia,2018,2225,,,,,,,-2,-2,-2
5139,32910,Cambodia,2019,2225,,,,,,,-2,-2,-2
5140,40688,Cambodia,2020,2225,,,,,,,-2,-2,-2
5141,43537,Cambodia,2021,2225,,,,,,,-2,-2,-2
5142,19447,Vietnam,2017,2226,kohl's,amazon,target,,,,8,10,35
5143,27185,Vietnam,2018,2226,kohl's,amazon,target,,,,8,10,35
5144,33018,Vietnam,2019,2226,kohl's,amazon,target,,,,8,10,35
5145,39297,Vietnam,2020,2226,kohl's,amazon,target,,,,8,10,35
5146,42575,Vietnam,2021,2226,kohl's,amazon,target,,,,8,10,35
5147,20136,Vietnam,2017,2230,kohl's,adidas,gunze,,,,8,58,-1
