QuestID,Country,year,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1BW,buyer2BW,buyer3BW,buyer1FTindex,buyer2FTindex,buyer3FTindex
31933,Cambodia,2019,1052,,,,,,,-1.0,-1.0,-1.0
38472,Cambodia,2020,1052,,,,,,,-1.0,-1.0,-1.0
10839,Cambodia,2015,1053,best seller,,,0.0,,,-1.0,-1.0,-1.0
17330,Cambodia,2016,1053,,,,,,,-1.0,-1.0,-1.0
23156,Cambodia,2017,1053,best seller,,,0.0,,,-1.0,-1.0,-1.0
30239,Cambodia,2018,1053,best seller,,,0.0,,,-1.0,-1.0,-1.0
38471,Cambodia,2020,1053,best seller,,,0.0,,,-1.0,-1.0,-1.0
42475,Cambodia,2021,1053,best seller,,,0.0,,,-1.0,-1.0,-1.0
11408,Cambodia,2015,1055,,,,,,,-1.0,-1.0,-1.0
17761,Cambodia,2016,1055,,,,,,,-1.0,-1.0,-1.0
23520,Cambodia,2017,1055,,,,,,,-1.0,-1.0,-1.0
37347,Cambodia,2019,1055,,,,,,,-1.0,-1.0,-1.0
13685,Cambodia,2016,1059,,,,,,,-1.0,-1.0,-1.0
19633,Cambodia,2017,1059,,,,,,,-1.0,-1.0,-1.0
15679,Cambodia,2016,1060,,,,,,,-1.0,-1.0,-1.0
23352,Cambodia,2017,1060,,,,,,,-1.0,-1.0,-1.0
32757,Cambodia,2019,1060,,,,,,,-1.0,-1.0,-1.0
40994,Cambodia,2021,1060,,,,,,,-1.0,-1.0,-1.0
17983,Cambodia,2016,1061,,,,,,,-1.0,-1.0,-1.0
26042,Cambodia,2018,1061,,,,,,,-1.0,-1.0,-1.0
34722,Cambodia,2019,1061,,,,,,,-1.0,-1.0,-1.0
12501,Cambodia,2015,1062,,,,,,,-1.0,-1.0,-1.0
18764,Cambodia,2017,1062,,,,,,,-1.0,-1.0,-1.0
10880,Cambodia,2015,1063,,,,,,,-1.0,-1.0,-1.0
16539,Cambodia,2016,1063,,,,,,,-1.0,-1.0,-1.0
23689,Cambodia,2017,1063,,,,,,,-1.0,-1.0,-1.0
