QuestID,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1pol,buyer1gov,buyer1trace,buyer2trace,buyer3trace,buyertracemx,buyer1know,buyer2know,buyer3know,buyerknowmx
11437,960,,,,,,,,,-1.0,,,,-1.0
17887,960,,,,,,,,,-1.0,,,,-1.0
24773,960,,,,,,,,,-1.0,,,,-1.0
32770,960,,,,,,,,,-1.0,,,,-1.0
40286,960,,,,,,,,,-1.0,,,,-1.0
43101,960,,,,,,,,,-1.0,,,,-1.0
12762,961,,,,,,,,,-1.0,,,,-1.0
18302,961,,,,,,,,,-1.0,,,,-1.0
10830,962,,,,,,,,,-1.0,,,,-1.0
16936,962,,,,,,,,,-1.0,,,,-1.0
14273,964,,,,,,,,,-1.0,,,,-1.0
20526,964,,,,,,,,,-1.0,,,,-1.0
27713,964,,,,,,,,,-1.0,,,,-1.0
34702,964,,,,,,,,,-1.0,,,,-1.0
10031,965,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
17402,965,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
20671,965,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
28133,965,,,,,,,,,-1.0,,,,-1.0
35149,965,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
40399,965,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
14567,966,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
20148,966,,,,,,,,,-1.0,,,,-1.0
27320,966,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
35940,966,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
40523,966,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
13528,967,,,,,,,,,-1.0,,,,-1.0
20438,967,,,,,,,,,-1.0,,,,-1.0
42747,970,,,,,,,,,-1.0,,,,-1.0
12164,972,,,,,,,,,-1.0,,,,-1.0
18273,972,,,,,,,,,-1.0,,,,-1.0
24472,972,,,,,,,,,-1.0,,,,-1.0
32285,972,,,,,,,,,-1.0,,,,-1.0
39249,972,,,,,,,,,-1.0,,,,-1.0
41539,972,,,,,,,,,-1.0,,,,-1.0
12457,973,,,,,,,,,-1.0,,,,-1.0
18159,973,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
24453,973,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
11127,977,,,,,,,,,-1.0,,,,-1.0
17941,977,,,,,,,,,-1.0,,,,-1.0
28217,977,,,,,,,,,-1.0,,,,-1.0
36804,977,,,,,,,,,-1.0,,,,-1.0
43019,977,,,,,,,,,-1.0,,,,-1.0
10601,978,,,,,,,,,-1.0,,,,-1.0
16937,978,,,,,,,,,-1.0,,,,-1.0
23493,978,,,,,,,,,-1.0,,,,-1.0
30349,978,,,,,,,,,-1.0,,,,-1.0
36758,978,,,,,,,,,-1.0,,,,-1.0
40600,978,,,,,,,,,-1.0,,,,-1.0
13827,979,,,,,,,,,-1.0,,,,-1.0
19317,979,kohl,,,,,,,,-1.0,,,,-1.0
26517,979,kohl,,,,,,,,-1.0,,,,-1.0
32672,979,kohl,,,,,,,,-1.0,,,,-1.0
42212,979,kohl,,,,,,,,-1.0,,,,-1.0
9287,980,,,,,,,,,-1.0,,,,-1.0
18830,980,,,,,,,,,-1.0,,,,-1.0
25273,980,,,,,,,,,-1.0,,,,-1.0
32186,980,,,,,,,,,-1.0,,,,-1.0
40373,980,,,,,,,,,-1.0,,,,-1.0
43771,980,,,,,,,,,-1.0,,,,-1.0
9614,981,primark,,,57.0,62.0,20.0,,,-1.0,38.0,,,-1.0
16436,981,,,,,,,,,-1.0,,,,-1.0
24600,981,primark,,,57.0,62.0,20.0,,,-1.0,38.0,,,-1.0
30748,981,primark,,,57.0,62.0,20.0,,,-1.0,38.0,,,-1.0
37249,981,primark,,,57.0,62.0,20.0,,,-1.0,38.0,,,-1.0
41678,981,primark,,,57.0,62.0,20.0,,,-1.0,38.0,,,-1.0
11438,985,o&m halyard,,,,,,,,-1.0,,,,-1.0
18924,985,o&m halyard,,,,,,,,-1.0,,,,-1.0
28029,985,o&m halyard,,,,,,,,-1.0,,,,-1.0
38474,985,,,,,,,,,-1.0,,,,-1.0
43330,985,o&m halyard,,,,,,,,-1.0,,,,-1.0
11931,986,hanesbrands,,,,,,,,-1.0,,,,-1.0
18369,986,hanesbrands,,,,,,,,-1.0,,,,-1.0
27366,986,hanesbrands,,,,,,,,-1.0,,,,-1.0
33942,986,hanesbrands,,,,,,,,-1.0,,,,-1.0
41691,986,,,,,,,,,-1.0,,,,-1.0
9078,987,backman,walmart,ann cole,,,,0.0,,-1.0,,24.0,,-1.0
15446,987,backman,walmart,ann cole,,,,0.0,,-1.0,,24.0,,-1.0
20497,987,backman,walmart,ann cole,,,,0.0,,-1.0,,24.0,,-1.0
18901,989,,,,,,,,,-1.0,,,,-1.0
11983,991,,,,,,,,,-1.0,,,,-1.0
17856,991,,,,,,,,,-1.0,,,,-1.0
11980,992,hanesbrands,,,,,,,,-1.0,,,,-1.0
18834,992,hanesbrands,,,,,,,,-1.0,,,,-1.0
25581,992,,,,,,,,,-1.0,,,,-1.0
34078,992,hanesbrands,,,,,,,,-1.0,,,,-1.0
42615,992,hanesbrands,,,,,,,,-1.0,,,,-1.0
13549,994,,,,,,,,,-1.0,,,,-1.0
13775,996,walmart,kohls,,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
20115,996,walmart,kohls,,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
28108,996,walmart,kohls,,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
35280,996,walmart,kohls,,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
40284,996,,,,,,,,,-1.0,,,,-1.0
11580,997,kayser roth,,,,,,,,-1.0,,,,-1.0
18371,997,kayser roth,,,,,,,,-1.0,,,,-1.0
25767,997,kayser roth,,,,,,,,-1.0,,,,-1.0
32776,997,,,,,,,,,-1.0,,,,-1.0
40057,997,kayser roth,,,,,,,,-1.0,,,,-1.0
42621,997,kayser roth,,,,,,,,-1.0,,,,-1.0
14976,998,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
20775,998,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
28145,998,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
34783,998,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
39936,998,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
42956,998,,,,,,,,,-1.0,,,,-1.0
10654,999,,,,,,,,,-1.0,,,,-1.0
19059,999,,,,,,,,,-1.0,,,,-1.0
28055,999,,,,,,,,,-1.0,,,,-1.0
14900,1000,,,,,,,,,-1.0,,,,-1.0
23765,1000,,,,,,,,,-1.0,,,,-1.0
32134,1000,,,,,,,,,-1.0,,,,-1.0
38743,1000,,,,,,,,,-1.0,,,,-1.0
10176,1002,,,,,,,,,-1.0,,,,-1.0
15571,1002,,,,,,,,,-1.0,,,,-1.0
21562,1002,,,,,,,,,-1.0,,,,-1.0
15304,1003,,,,,,,,,-1.0,,,,-1.0
21528,1003,,,,,,,,,-1.0,,,,-1.0
28257,1003,,,,,,,,,-1.0,,,,-1.0
34847,1003,,,,,,,,,-1.0,,,,-1.0
40468,1003,,,,,,,,,-1.0,,,,-1.0
43449,1003,,,,,,,,,-1.0,,,,-1.0
9349,1004,grand jazz,,,,,,,,-1.0,,,,-1.0
14822,1004,grand jazz,,,,,,,,-1.0,,,,-1.0
20770,1004,grand jazz,,,,,,,,-1.0,,,,-1.0
27552,1004,grand jazz,,,,,,,,-1.0,,,,-1.0
33989,1004,,,,,,,,,-1.0,,,,-1.0
39976,1004,grand jazz,,,,,,,,-1.0,,,,-1.0
43015,1004,grand jazz,,,,,,,,-1.0,,,,-1.0
11196,1005,adidas,the north face,,97.0,85.0,46.0,36.0,,-1.0,45.0,32.0,,-1.0
16288,1005,,,,,,,,,-1.0,,,,-1.0
23729,1005,adidas,the north face,,97.0,85.0,46.0,36.0,,-1.0,45.0,32.0,,-1.0
30088,1005,adidas,the north face,,97.0,85.0,46.0,36.0,,-1.0,45.0,32.0,,-1.0
41388,1005,adidas,the north face,,97.0,85.0,46.0,36.0,,-1.0,45.0,32.0,,-1.0
11294,1006,,,,,,,,,-1.0,,,,-1.0
18275,1006,,,,,,,,,-1.0,,,,-1.0
26120,1006,,,,,,,,,-1.0,,,,-1.0
32337,1006,,,,,,,,,-1.0,,,,-1.0
41438,1006,,,,,,,,,-1.0,,,,-1.0
9814,1007,jc penney,,,,,,,,-1.0,,,,-1.0
15044,1007,jc penney,,,,,,,,-1.0,,,,-1.0
21948,1007,,,,,,,,,-1.0,,,,-1.0
27744,1007,jc penney,,,,,,,,-1.0,,,,-1.0
34382,1007,jc penney,,,,,,,,-1.0,,,,-1.0
40340,1007,jc penney,,,,,,,,-1.0,,,,-1.0
13458,1008,,,,,,,,,-1.0,,,,-1.0
18603,1008,cato,,,,,,,,-1.0,,,,-1.0
25148,1008,cato,,,,,,,,-1.0,,,,-1.0
32390,1008,cato,,,,,,,,-1.0,,,,-1.0
40153,1008,cato,,,,,,,,-1.0,,,,-1.0
43599,1008,cato,,,,,,,,-1.0,,,,-1.0
10284,1010,,,,,,,,,-1.0,,,,-1.0
21215,1010,,,,,,,,,-1.0,,,,-1.0
28799,1010,,,,,,,,,-1.0,,,,-1.0
9929,1011,,,,,,,,,-1.0,,,,-1.0
18301,1011,,,,,,,,,-1.0,,,,-1.0
26499,1011,,,,,,,,,-1.0,,,,-1.0
34141,1011,,,,,,,,,-1.0,,,,-1.0
42916,1011,,,,,,,,,-1.0,,,,-1.0
11565,1013,,,,,,,,,-1.0,,,,-1.0
17805,1013,zenana outfitters,,,,,,,,-1.0,,,,-1.0
22722,1013,zenana outfitters,,,,,,,,-1.0,,,,-1.0
28978,1013,zenana outfitters,,,,,,,,-1.0,,,,-1.0
12134,1015,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
18139,1015,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
24264,1015,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
30807,1015,,,,,,,,,-1.0,,,,-1.0
37711,1015,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
41121,1015,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
14717,1016,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
20713,1016,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
29407,1016,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
36871,1016,gap,,,86.0,46.0,48.0,,,-1.0,54.0,,,-1.0
41105,1016,,,,,,,,,-1.0,,,,-1.0
14807,1020,,,,,,,,,-1.0,,,,-1.0
20393,1020,,,,,,,,,-1.0,,,,-1.0
10377,1021,,,,,,,,,-1.0,,,,-1.0
15967,1021,,,,,,,,,-1.0,,,,-1.0
22163,1021,,,,,,,,,-1.0,,,,-1.0
38330,1021,,,,,,,,,-1.0,,,,-1.0
11253,1022,,,,,,,,,-1.0,,,,-1.0
18272,1022,adidas,,,97.0,85.0,46.0,,,-1.0,45.0,,,-1.0
26440,1022,adidas,,,97.0,85.0,46.0,,,-1.0,45.0,,,-1.0
34215,1022,adidas,,,97.0,85.0,46.0,,,-1.0,45.0,,,-1.0
42551,1022,adidas,,,97.0,85.0,46.0,,,-1.0,45.0,,,-1.0
12024,1023,loblaws,reitmans,hbc,,,,,,-1.0,,,,-1.0
16553,1023,loblaws,reitmans,hbc,,,,,,-1.0,,,,-1.0
22621,1023,loblaws,reitmans,hbc,,,,,,-1.0,,,,-1.0
29685,1023,loblaws,reitmans,hbc,,,,,,-1.0,,,,-1.0
36980,1023,loblaws,reitmans,hbc,,,,,,-1.0,,,,-1.0
41510,1023,loblaws,reitmans,hbc,,,,,,-1.0,,,,-1.0
12254,1024,,,,,,,,,-1.0,,,,-1.0
13089,1027,mgt,,,,,,,,-1.0,,,,-1.0
19100,1027,mgt,,,,,,,,-1.0,,,,-1.0
25236,1027,mgt,,,,,,,,-1.0,,,,-1.0
32140,1027,,,,,,,,,-1.0,,,,-1.0
42932,1027,mgt,,,,,,,,-1.0,,,,-1.0
10657,1028,,,,,,,,,-1.0,,,,-1.0
16903,1028,,,,,,,,,-1.0,,,,-1.0
23696,1028,,,,,,,,,-1.0,,,,-1.0
27179,1028,,,,,,,,,-1.0,,,,-1.0
33838,1028,,,,,,,,,-1.0,,,,-1.0
40891,1028,,,,,,,,,-1.0,,,,-1.0
15496,1029,lacoste,,,29.0,0.0,0.0,,,-1.0,0.0,,,-1.0
20975,1029,lacoste,,,29.0,0.0,0.0,,,-1.0,0.0,,,-1.0
28345,1029,lacoste,,,29.0,0.0,0.0,,,-1.0,0.0,,,-1.0
34804,1029,lacoste,,,29.0,0.0,0.0,,,-1.0,0.0,,,-1.0
41599,1029,,,,,,,,,-1.0,,,,-1.0
13933,1030,,,,,,,,,-1.0,,,,-1.0
11991,1031,,,,,,,,,-1.0,,,,-1.0
18023,1031,,,,,,,,,-1.0,,,,-1.0
24898,1031,,,,,,,,,-1.0,,,,-1.0
31659,1031,,,,,,,,,-1.0,,,,-1.0
38864,1031,,,,,,,,,-1.0,,,,-1.0
42547,1031,,,,,,,,,-1.0,,,,-1.0
10101,1032,lululemon,,,70.0,85.0,25.0,,,-1.0,24.0,,,-1.0
17079,1032,lululemon,,,70.0,85.0,25.0,,,-1.0,24.0,,,-1.0
23702,1032,,,,,,,,,-1.0,,,,-1.0
30246,1032,lululemon,,,70.0,85.0,25.0,,,-1.0,24.0,,,-1.0
37578,1032,lululemon,,,70.0,85.0,25.0,,,-1.0,24.0,,,-1.0
41143,1032,lululemon,,,70.0,85.0,25.0,,,-1.0,24.0,,,-1.0
10273,1034,,,,,,,,,-1.0,,,,-1.0
14253,1036,,,,,,,,,-1.0,,,,-1.0
19081,1036,,,,,,,,,-1.0,,,,-1.0
26644,1036,,,,,,,,,-1.0,,,,-1.0
33038,1036,,,,,,,,,-1.0,,,,-1.0
39902,1036,,,,,,,,,-1.0,,,,-1.0
42454,1036,,,,,,,,,-1.0,,,,-1.0
13415,1039,lululemon,,,70.0,85.0,25.0,,,-1.0,24.0,,,-1.0
18586,1039,lululemon,,,70.0,85.0,25.0,,,-1.0,24.0,,,-1.0
25603,1039,lululemon,,,70.0,85.0,25.0,,,-1.0,24.0,,,-1.0
38967,1039,,,,,,,,,-1.0,,,,-1.0
10928,1040,chamna,,,,,,,,-1.0,,,,-1.0
